CA_code,VA_code,estimate,ASE,flag
C03D,V11B,S,,
C03E,V11B,S,,
C03F,V11B,5.9,4.3,**
C03G,V11B,S,,
C03A,V11C,8,5.6,**
C03B,V11C,5.2,3.6,**
C03C,V11C,4.4,3.1,**
C03D,V11C,9,5.3,**
C03E,V11C,7.9,4.9,**
C03F,V11C,6.4,5.2,**
C03G,V11C,10.8,10.3,**
C03A,V11D,43.9,9.9,
C03B,V11D,28.2,8.4,
C03C,V11D,34.5,8.7,
C03D,V11D,40.1,8.6,
C03E,V11D,33,9.8,
C03F,V11D,41.3,7.1,
C03G,V11D,33.6,10.8,*
C03A,V11E,40,9.4,
C03B,V11E,63.2,9.1,
C03C,V11E,57.4,8.4,
C03D,V11E,49.3,9.5,
C03E,V11E,58,9.8,
C03F,V11E,46.3,7.5,
C03G,V11E,54.2,12.3,
C03A,V12A,51.7,7,
C03B,V12A,45,5.7,
C03C,V12A,40.7,4.8,
C03D,V12A,43.6,5.6,
C03E,V12A,33.7,4.8,
C03F,V12A,31.4,4.6,
C03G,V12A,25.8,5.9,
C03A,V12B,12.5,6.6,**
C03B,V12B,2.8,3.1,***
C03C,V12B,S,,
C03D,V12B,4,3.3,**
C03E,V12B,7.1,4.6,**
C03F,V12B,4.7,3.4,**
C03G,V12B,5.7,4.6,**
C03A,V12C,9.7,5.9,**
C03B,V12C,11.2,8.6,**
C03C,V12C,6.5,3.8,**
C03D,V12C,3.5,3,**
C03E,V12C,4.3,3.3,**
C03F,V12C,9.4,7.9,**
C03G,V12C,9.3,7,**
C03A,V12D,23.9,7.5,*
C03B,V12D,23.4,6.8,
C03C,V12D,26.1,7,
C03D,V12D,28.3,7.8,
C03E,V12D,35.6,8.9,
C03F,V12D,39.5,11,
C03G,V12D,23.7,9.8,*
C03A,V12E,53.9,10,
C03B,V12E,62.7,9.1,
C03C,V12E,65.8,7.4,
C03D,V12E,64.1,8.9,
C03E,V12E,53,9.2,
C03F,V12E,46.4,9.6,
C03G,V12E,61.3,10.2,
C03A,V13A,60.9,6.4,
C03B,V13A,48.8,5.3,
C03C,V13A,46.3,5.6,
C03D,V13A,48,5.6,
C03E,V13A,37.4,4.8,
C03F,V13A,40.9,5.3,
C03G,V13A,31.5,5.9,
C03A,V13B,8.6,5.4,**
C03B,V13B,S,,
C03C,V13B,S,,
C03D,V13B,S,,
C03E,V13B,2.9,2.3,**
C03F,V13B,3.2,2.8,**
C03G,V13B,S,,
C03A,V13C,7.2,3.3,*
C03B,V13C,5.2,4.3,**
C03C,V13C,4.9,3.1,**
C03D,V13C,6.4,3.6,**
C03E,V13C,4.9,3.2,**
C03F,V13C,10.2,4.4,*
C03G,V13C,12.7,9.7,**
C03A,V13D,39.9,8.3,
C03B,V13D,37.2,6.9,
C03C,V13D,35.4,6.4,
C03D,V13D,28.9,7.8,
C03E,V13D,30.8,7.2,
C03F,V13D,30.8,8.6,
C03G,V13D,22.6,8.4,*
C03A,V13E,44.4,8.6,
C03B,V13E,55.6,8.7,
C03C,V13E,57.9,6.4,
C03D,V13E,63.3,8.5,
C03E,V13E,61.5,7.4,
C03F,V13E,55.7,8.3,
C03G,V13E,62.5,11.9,
C03A,V14A,33.4,6.4,
C03B,V14A,42.3,5.8,
C03C,V14A,49.5,4.8,
C03D,V14A,47.3,5.4,
C03E,V14A,42,5.5,
C03F,V14A,40,5.1,
C03G,V14A,31.2,6.1,
C03A,V14B,S,,
C03B,V14B,S,,
C03C,V14B,2,2.1,***
C03D,V14B,S,,
C03E,V14B,5.1,4.3,**
C03F,V14B,4.2,3,**
C03G,V14B,S,,
C03A,V14C,S,,
C03B,V14C,6.1,3.9,**
C03C,V14C,3.2,2.4,**
C03D,V14C,3.5,3,**
C03E,V14C,3.5,2.4,**
C03F,V14C,8.1,4.7,**
C03G,V14C,S,,
C03A,V14D,30.7,9.5,*
C03B,V14D,30,6.6,
C03C,V14D,34.5,5.6,
C03D,V14D,36.8,7.4,
C03E,V14D,26.3,6.8,
C03F,V14D,33.2,7.8,
C03G,V14D,43.4,11.6,
C03A,V14E,62.3,10.1,
C03B,V14E,63.1,7.4,
C03C,V14E,60.3,6,
C03D,V14E,58.8,7.4,
C03E,V14E,65,8.3,
C03F,V14E,54.5,8.4,
C03G,V14E,51.1,11.7,
C03A,V15A,33.7,7,
C03B,V15A,29.6,4.9,
C03C,V15A,36.8,4.6,
C03D,V15A,39.3,5.9,
C03E,V15A,31.5,5.1,
C03F,V15A,33,4.6,
C03G,V15A,22.4,5.3,
C03A,V15B,S,,
C03B,V15B,S,,
C03C,V15B,S,,
C03D,V15B,5.7,3.8,**
C03E,V15B,6.3,3.9,**
C03F,V15B,8.4,4.3,**
C03G,V15B,S,,
C03A,V15C,7.8,5.6,**
C03B,V15C,3.2,3.5,***
C03C,V15C,6,4.4,**
C03D,V15C,3,3,***
C03E,V15C,S,,
C03F,V15C,8,4.4,**
C03G,V15C,S,,
C03A,V15D,25.7,10.3,*
C03B,V15D,35,7.7,
C03C,V15D,29.4,8.2,
C03D,V15D,33.6,7.3,
C03E,V15D,26.8,7.9,
C03F,V15D,33.5,8.4,
C03G,V15D,25.3,11,*
C03A,V15E,61.5,12.7,
C03B,V15E,59.4,7.8,
C03C,V15E,62.4,8.8,
C03D,V15E,57.7,7.9,
C03E,V15E,66.7,9.1,
C03F,V15E,50.1,8.4,
C03G,V15E,66.4,12.5,
C03A,V16A,53.6,6.9,
C03B,V16A,56,5.5,
C03C,V16A,59.5,4.8,
C03D,V16A,54.3,5.2,
C03E,V16A,42.2,5.5,
C03F,V16A,36.1,4.3,
C03G,V16A,26.7,5.3,
C03A,V16B,4.2,3.5,**
C03B,V16B,4.8,3.5,**
C03C,V16B,3,2.5,**
C03D,V16B,3,2.7,**
C03E,V16B,4.7,4.2,**
C03F,V16B,2.9,2.2,**
C03G,V16B,S,,
C03A,V16C,8.8,5.8,**
C03B,V16C,6.4,4,**
C03C,V16C,5.8,3.7,**
C03D,V16C,7.5,4.6,**
C03E,V16C,3.6,2.8,**
C03F,V16C,5.3,3.8,**
C03G,V16C,S,,
C03A,V16D,25.4,7.7,*
C03B,V16D,30,6.9,
C03C,V16D,29.9,5.7,
C03D,V16D,31.4,6.8,
C03E,V16D,27.8,7.1,
C03F,V16D,31,7.6,
C03G,V16D,32.9,9.5,
C03A,V16E,61.5,9,
C03B,V16E,58.8,6.9,
C03C,V16E,61.2,7,
C03D,V16E,58.1,7.3,
C03E,V16E,64,7.3,
C03F,V16E,60.8,8.1,
C03G,V16E,58,9.9,
C03A,V17A,67.6,7.3,
C03B,V17A,78.3,4.2,
C03C,V17A,76.8,4.1,
C03D,V17A,71.2,4.8,
C03E,V17A,61.5,5.4,
C03F,V17A,52.8,5,
C03G,V17A,44.4,6.8,
C03A,V17B,19.2,7,*
C03B,V17B,21.3,5,
C03C,V17B,18.2,4.2,
C03D,V17B,16.1,5.1,*
C03E,V17B,20.1,6,
C03F,V17B,19,6.3,*
C03G,V17B,18.7,7.9,*
C03A,V17C,17.5,6.6,*
C03B,V17C,13.5,3.9,
C03C,V17C,16.8,4.3,
C03D,V17C,13.6,4.2,*
C03E,V17C,8.7,3.4,*
C03F,V17C,11.1,4.6,*
C03G,V17C,8.4,4.4,**
C03A,V17D,33.1,7.7,
C03B,V17D,37,6.8,
C03C,V17D,26.8,4.8,
C03D,V17D,33.4,5.9,
C03E,V17D,27.2,5.1,
C03F,V17D,32.5,6,
C03G,V17D,30,9.8,*
C03A,V17E,30.2,6.2,
C03B,V17E,28.3,5.3,
C03C,V17E,38.2,5,
C03D,V17E,36.9,6.7,
C03E,V17E,44,6.9,
C03F,V17E,37.5,6.7,
C03G,V17E,42.9,10.6,
C03A,V18A,65.5,6,
C03B,V18A,65.2,6.7,
C03C,V18A,60.3,4.9,
C03D,V18A,59.1,5,
C03E,V18A,53.1,5.2,
C03F,V18A,44.1,4.9,
C03G,V18A,22,4.7,
C03A,V18B,62.5,7.9,
C03B,V18B,67.8,6.1,
C03C,V18B,69.2,6.9,
C03D,V18B,61,6.4,
C03E,V18B,62.4,7,
C03F,V18B,56.5,7.5,
C03G,V18B,59.4,16,
C03A,V18C,12.9,5.1,*
C03B,V18C,12.7,5.8,*
C03C,V18C,11,4.4,*
C03D,V18C,9.9,3.3,*
C03E,V18C,7.5,3.4,*
C03F,V18C,16.1,5.7,*
C03G,V18C,8.2,8.1,**
C03A,V18D,16.4,5.3,*
C03B,V18D,14,4.8,*
C03C,V18D,14.8,5,*
C03D,V18D,22.5,5.6,
C03E,V18D,24,6,
C03F,V18D,18.7,5.8,*
C03G,V18D,21.1,14.7,**
C03A,V18E,8.3,4.4,**
C03B,V18E,5.4,3,**
C03C,V18E,4.9,3.4,**
C03D,V18E,6.6,3.5,**
C03E,V18E,6.1,3,*
C03F,V18E,8.7,4.1,*
C03G,V18E,11.3,7.2,**
C03A,V19A,19,4.5,
C03B,V19A,28.9,4.6,
C03C,V19A,28.3,4.2,
C03D,V19A,31.9,4.3,
C03E,V19A,36.5,5.4,
C03F,V19A,36.4,5.2,
C03G,V19A,32.6,6.6,
C03A,V19B,47.4,15.5,*
C03B,V19B,43.5,9.8,
C03C,V19B,35.8,10.2,
C03D,V19B,41.2,8.7,
C03E,V19B,42.5,9.7,
C03F,V19B,38.8,8.7,
C03G,V19B,31.4,10,*
C03A,V19C,16.8,11.2,**
C03B,V19C,14.6,7.1,*
C03C,V19C,17,8,*
C03D,V19C,21.1,8.8,*
C03E,V19C,14.4,6,*
C03F,V19C,20,8.1,*
C03G,V19C,6.4,4.7,**
C03A,V19D,19.8,11.6,**
C03B,V19D,20.9,6.8,*
C03C,V19D,30.3,9.5,*
C03D,V19D,19.3,6.2,*
C03E,V19D,27.6,8.6,*
C03F,V19D,24.1,6.8,
C03G,V19D,36.9,11.8,*
C03A,V19E,16,9.1,**
C03B,V19E,21,7.8,*
C03C,V19E,16.9,8.6,**
C03D,V19E,18.4,7,*
C03E,V19E,15.5,5.2,*
C03F,V19E,17,7.8,*
C03G,V19E,25.2,12.6,*
C03A,V20A,11.3,3.6,*
C03B,V20A,4.3,1.8,*
C03C,V20A,4.6,2.4,**
C03D,V20A,4.9,2.2,*
C03E,V20A,2.9,1.9,**
C03F,V20A,0.9,0.8,**
C03G,V20A,S,,
C03A,V20B,26,18.5,**
C03B,V20B,29.7,17,**
C03C,V20B,43.1,28.6,**
C03D,V20B,49.8,23.2,*
C03E,V20B,S,,
C03F,V20B,S,,
C03G,V20B,S,,
C03A,V20C,S,,
C03B,V20C,S,,
C03C,V20C,S,,
C03D,V20C,S,,
C03E,V20C,S,,
C03F,V20C,S,,
C03G,V20C,S,,
C03A,V20D,12.1,9.9,**
C03B,V20D,38.9,24.7,**
C03C,V20D,39.6,32.2,**
C03D,V20D,S,,
C03E,V20D,S,,
C03F,V20D,S,,
C03G,V20D,S,,
C03A,V20E,56.5,18,*
C03B,V20E,24.2,19.6,**
C03C,V20E,S,,
C03D,V20E,27.3,18.2,**
C03E,V20E,S,,
C03F,V20E,S,,
C03G,V20E,S,,
C03A,V21A,38.1,5.7,
C03B,V21A,29.9,4.6,
C03C,V21A,28.2,4.6,
C03D,V21A,26.4,4.9,
C03E,V21A,17.5,4.2,
C03F,V21A,16,3.7,
C03G,V21A,10.2,3.9,*
C03A,V21B,25.8,8.2,*
C03B,V21B,39.1,7.6,
C03C,V21B,33.6,9.6,
C03D,V21B,27.7,9.3,*
C03E,V21B,27.6,11.7,*
C03F,V21B,14.2,8.7,**
C03G,V21B,19.7,17.9,**
C03A,V21C,10.7,6.2,**
C03B,V21C,15.6,6.6,*
C03C,V21C,14.6,6.9,*
C03D,V21C,12.6,8.4,**
C03E,V21C,12.7,13.1,***
C03F,V21C,17.9,15.3,**
C03G,V21C,S,,
C03A,V21D,25.1,8.1,*
C03B,V21D,21.2,7.9,*
C03C,V21D,33,10.1,*
C03D,V21D,25.3,9,*
C03E,V21D,26.1,11.1,*
C03F,V21D,24.2,9.7,*
C03G,V21D,40,18.8,*
C03A,V21E,38.4,10.4,
C03B,V21E,24,7.9,*
C03C,V21E,18.8,7.1,*
C03D,V21E,34.3,9.4,
C03E,V21E,33.6,14.1,*
C03F,V21E,43.7,14.5,*
C03G,V21E,26,13.6,**
C03A,V22A,30,6.1,
C03B,V22A,23.9,4,
C03C,V22A,23.7,4.8,
C03D,V22A,23.2,4.5,
C03E,V22A,19.9,4.4,
C03F,V22A,18.1,4.1,
C03G,V22A,10.1,5.2,**
C03A,V22B,11.3,7.8,**
C03B,V22B,11.6,5.4,*
C03C,V22B,4,4.6,***
C03D,V22B,14.7,7.8,**
C03E,V22B,7.2,6.1,**
C03F,V22B,S,,
C03G,V22B,S,,
C03A,V22C,10.3,8.5,**
C03B,V22C,9.9,9.6,**
C03C,V22C,6.5,5.7,**
C03D,V22C,5.4,4.9,**
C03E,V22C,S,,
C03F,V22C,15.6,13.7,**
C03G,V22C,S,,
C03A,V22D,14.1,6.9,*
C03B,V22D,25.4,7.9,*
C03C,V22D,28.1,10.8,*
C03D,V22D,15.3,8.7,**
C03E,V22D,21.9,9.8,*
C03F,V22D,29.3,10.7,*
C03G,V22D,S,,
C03A,V22E,64.4,10.1,
C03B,V22E,53.1,11.8,
C03C,V22E,61.5,11.1,
C03D,V22E,64.6,10.2,
C03E,V22E,66.9,10,
C03F,V22E,50.6,11.9,
C03G,V22E,74.5,16.3,
C04A,V00T,49,0.2,
C04B,V00T,50.9,0.2,
C04A,V01A,80.7,2.7,
C04B,V01A,86.3,2.4,
C04A,V01B,19.3,2.7,
C04B,V01B,13.7,2.4,
C04A,V01C,29.4,7.3,
C04B,V01C,35.8,10.8,*
C04A,V01D,25.5,7.9,*
C04B,V01D,22.4,7.2,*
C04A,V01E,45,9.4,
C04B,V01E,41.8,8.6,
C04A,V02A,61.8,3.5,
C04B,V02A,65,3,
C04A,V02B,38.2,3.5,
C04B,V02B,35,3,
C04A,V02C,19.4,5,
C04B,V02C,17.2,3.6,
C04A,V02D,15.5,4.4,
C04B,V02D,16.5,4.6,
C04A,V02E,26.4,4.9,
C04B,V02E,25.8,4.1,
C04A,V02F,38.8,6,
C04B,V02F,40.5,5,
C04A,V03A,48.6,3.6,
C04B,V03A,45.4,3.3,
C04A,V03B,84.3,2.2,
C04B,V03B,81.9,2.3,
C04A,V03C,29.2,3.3,
C04B,V03C,32.4,3,
C04A,V04A,18.8,2.5,
C04B,V04A,14.3,2.1,
C04A,V04B,3.7,1.2,*
C04B,V04B,1.8,1.1,**
C04A,V04C,5,1.3,
C04B,V04C,3.8,1.1,
C04A,V04D,72.6,2.7,
C04B,V04D,80.1,2.2,
C04A,V05A,61.6,3.2,
C04B,V05A,61.5,3.1,
C04A,V05B,5.2,1.5,
C04B,V05B,5.3,1.5,
C04A,V05C,5.1,1.2,
C04B,V05C,4.8,1.3,
C04A,V05D,28.2,3,
C04B,V05D,28.4,2.4,
C04A,V06A,34.2,3.2,
C04B,V06A,21.9,2.5,
C04A,V06B,6.6,1.8,
C04B,V06B,6.3,1.6,
C04A,V06C,6.6,1.8,
C04B,V06C,4.5,1.2,
C04A,V06D,52.5,3.5,
C04B,V06D,67.3,2.8,
C04A,V07A,5.1,1.4,
C04B,V07A,6.4,1.4,
C04A,V07B,1.3,0.8,**
C04B,V07B,1.4,0.7,**
C04A,V07C,3,1.2,*
C04B,V07C,2.2,0.7,*
C04A,V07D,90.6,1.9,
C04B,V07D,90,1.7,
C04A,V08A,5.6,1.5,
C04B,V08A,5,1.2,
C04A,V08B,1.9,0.9,*
C04B,V08B,2.2,0.9,*
C04A,V08C,3.1,1.1,*
C04B,V08C,3.8,1.1,
C04A,V08D,89.4,1.9,
C04B,V08D,89,1.7,
C04A,V09A,4.5,1.3,
C04B,V09A,17.6,2.3,
C04A,V09B,1.4,0.7,*
C04B,V09B,3.3,1,
C04A,V09C,3.6,1.3,*
C04B,V09C,6.9,1.6,
C04A,V09D,90.5,1.9,
C04B,V09D,72.1,2.7,
C04A,V10A,6.8,1.4,
C04B,V10A,9.4,1.7,
C04A,V10B,3.2,1.2,*
C04B,V10B,2.9,1.3,*
C04A,V10C,5.9,1.6,
C04B,V10C,5.1,1.4,
C04A,V10D,84.1,2.2,
C04B,V10D,82.6,2.6,
C04A,V11A,29.9,3.2,
C04B,V11A,38.6,3.2,
C04A,V11B,4,2.3,**
C04B,V11B,3.6,2,**
C04A,V11C,6.3,3.1,*
C04B,V11C,7.4,2.6,*
C04A,V11D,36.9,5.3,
C04B,V11D,36.6,4.4,
C04A,V11E,52.8,5.5,
C04B,V11E,52.4,4.7,
C04A,V12A,40.3,3.2,
C04B,V12A,40.6,2.8,
C04A,V12B,6.4,2.7,*
C04B,V12B,4.8,2.7,**
C04A,V12C,8.9,4.1,*
C04B,V12C,6.6,2.7,*
C04A,V12D,26.2,4.4,
C04B,V12D,29.1,4.5,
C04A,V12E,58.5,5.3,
C04B,V12E,59.5,5.1,
C04A,V13A,44.2,3,
C04B,V13A,48.2,3.2,
C04A,V13B,4.4,2.3,**
C04B,V13B,2.6,1.3,**
C04A,V13C,6.2,2.3,*
C04B,V13C,7,2.4,*
C04A,V13D,34.7,4.6,
C04B,V13D,33.1,4.4,
C04A,V13E,54.7,4.5,
C04B,V13E,57.3,4.4,
C04A,V14A,38.9,3.4,
C04B,V14A,44.3,2.9,
C04A,V14B,2.7,1.9,**
C04B,V14B,2.3,1.1,*
C04A,V14C,4.7,2.1,*
C04B,V14C,4.1,1.6,*
C04A,V14D,31.3,4.2,
C04B,V14D,33.8,3.8,
C04A,V14E,61.3,4.6,
C04B,V14E,59.8,4.4,
C04A,V15A,33.8,2.9,
C04B,V15A,32.3,3.2,
C04A,V15B,6,2.7,*
C04B,V15B,3.6,1.7,*
C04A,V15C,5.2,2.3,*
C04B,V15C,3.9,2,**
C04A,V15D,30.6,5.2,
C04B,V15D,30.3,4.9,
C04A,V15E,58.2,5.4,
C04B,V15E,62.2,5.2,
C04A,V16A,47,3.4,
C04B,V16A,51.5,2.7,
C04A,V16B,4.4,2.1,*
C04B,V16B,3.4,1.4,*
C04A,V16C,6.2,2.6,*
C04B,V16C,6.5,2.8,*
C04A,V16D,26,4.3,
C04B,V16D,32.2,4.1,
C04A,V16E,63.4,5.1,
C04B,V16E,57.9,4.5,
C04A,V17A,66.3,3.1,
C04B,V17A,68.1,2.9,
C04A,V17B,20.1,3.4,
C04B,V17B,17.9,3.2,
C04A,V17C,14.3,2.7,
C04B,V17C,13,2,
C04A,V17D,31.5,3.3,
C04B,V17D,32.1,3.2,
C04A,V17E,34.1,3.3,
C04B,V17E,37,3.6,
C04A,V18A,54.7,3.3,
C04B,V18A,57.2,3.1,
C04A,V18B,63.5,3.8,
C04B,V18B,64.1,3.8,
C04A,V18C,9.8,2.6,
C04B,V18C,12.9,3,
C04A,V18D,19.8,3.4,
C04B,V18D,16.5,2.9,
C04A,V18E,6.9,2.5,*
C04B,V18E,6.4,1.7,
C04A,V19A,31,2.4,
C04B,V19A,28.9,2.9,
C04A,V19B,40.5,5.6,
C04B,V19B,40.5,4.7,
C04A,V19C,16.9,4.6,
C04B,V19C,15.8,4.2,
C04A,V19D,24.7,3.9,
C04B,V19D,25.1,5.1,
C04A,V19E,18,4.6,
C04B,V19E,18.6,3.6,
C04A,V20A,4.2,1.4,*
C04B,V20A,5.1,1,
C04A,V20B,19.1,12,**
C04B,V20B,45.7,14.6,*
C04A,V20C,S,,
C04B,V20C,7.6,5.7,**
C04A,V20D,31,17,**
C04B,V20D,17.6,9.5,**
C04A,V20E,42.5,15.2,*
C04B,V20E,29.1,11.6,*
C04A,V21A,20.1,2.5,
C04B,V21A,30.4,2.6,
C04A,V21B,21.3,5.6,
C04B,V21B,35,5,
C04A,V21C,14.5,5.6,*
C04B,V21C,12.9,4.3,*
C04A,V21D,28.8,5.9,
C04B,V21D,24.4,4.2,
C04A,V21E,35.4,7,
C04B,V21E,27.7,4.2,
C04A,V22A,21.7,2.4,
C04B,V22A,23,2.6,
C04A,V22B,11.8,5,*
C04B,V22B,7.8,3.2,*
C04A,V22C,8.8,4.2,*
C04B,V22C,7.4,4.2,**
C04A,V22D,18.6,5.1,
C04B,V22D,23.5,4.8,
C04A,V22E,60.8,7.4,
C04B,V22E,61.3,6.1,
C05A,V00T,67.6,1.9,
C05B,V00T,3.5,0.9,
C05C,V00T,28.9,1.6,
C05A,V01A,83.2,2.4,
C05B,V01A,69.3,11.1,
C05C,V01A,85.9,3,
C05A,V01B,16.8,2.4,
C05B,V01B,30.7,11.1,*
C05C,V01B,14.1,3,
C05A,V01C,35.3,7.4,
C05B,V01C,35.6,25.2,**
C05C,V01C,22,9.6,*
C05A,V01D,22.8,7.1,*
C05B,V01D,36.5,26.4,**
C05C,V01D,25.3,10.4,*
C05A,V01E,41.9,7.1,
C05B,V01E,27.9,24.5,**
C05C,V01E,52.6,13.2,
C05A,V02A,61.6,2.9,
C05B,V02A,49.8,14.3,
C05C,V02A,69.5,3.6,
C05A,V02B,38.4,2.9,
C05B,V02B,50.2,14.3,
C05C,V02B,30.5,3.6,
C05A,V02C,17.8,3.5,
C05B,V02C,23,16.5,**
C05C,V02C,19.3,5.5,
C05A,V02D,17.1,3.8,
C05B,V02D,27.1,21.2,**
C05C,V02D,10.6,4.3,*
C05A,V02E,27.4,3.8,
C05B,V02E,18.8,13.3,**
C05C,V02E,23.6,5.9,
C05A,V02F,37.7,4.3,
C05B,V02F,31,16.5,**
C05C,V02F,46.5,8,
C05A,V03A,45.7,3,
C05B,V03A,46,11.8,
C05C,V03A,50,3.7,
C05A,V03B,82.2,2.1,
C05B,V03B,82.8,6.6,
C05C,V03B,85,2.4,
C05A,V03C,30.1,2.5,
C05B,V03C,23,9.5,*
C05C,V03C,33.5,3.9,
C05A,V04A,15.8,1.9,
C05B,V04A,21.9,12.9,**
C05C,V04A,17.3,2.8,
C05A,V04B,3,1.2,*
C05B,V04B,S,,
C05C,V04B,1.9,1.2,**
C05A,V04C,5.2,1.2,
C05B,V04C,S,,
C05C,V04C,2.8,1.2,*
C05A,V04D,75.9,2.2,
C05B,V04D,73.9,14,
C05C,V04D,78,2.8,
C05A,V05A,61.7,2.9,
C05B,V05A,68.3,14.1,
C05C,V05A,60.2,3.8,
C05A,V05B,5.9,1.4,
C05B,V05B,S,,
C05C,V05B,4,1.4,*
C05A,V05C,5.6,1.1,
C05B,V05C,S,,
C05C,V05C,3.8,1.4,*
C05A,V05D,26.7,2.5,
C05B,V05D,27.5,13.6,*
C05C,V05D,32,3.5,
C05A,V06A,28.8,2.5,
C05B,V06A,51.1,13.6,
C05C,V06A,23.2,3,
C05A,V06B,7.6,1.7,
C05B,V06B,S,,
C05C,V06B,3.8,1.6,*
C05A,V06C,6.5,1.4,
C05B,V06C,4.2,4.3,***
C05C,V06C,3.6,1.4,*
C05A,V06D,57.1,3,
C05B,V06D,38.4,11.1,
C05C,V06D,69.5,3.2,
C05A,V07A,5.4,1.2,
C05B,V07A,14.4,11.1,**
C05C,V07A,5.6,1.7,*
C05A,V07B,1.7,0.7,*
C05B,V07B,S,,
C05C,V07B,S,,
C05A,V07C,2.7,0.9,*
C05B,V07C,S,,
C05C,V07C,2,1.1,**
C05A,V07D,90.2,1.6,
C05B,V07D,81.4,11.5,
C05C,V07D,91.5,2,
C05A,V08A,3.9,1,
C05B,V08A,13.9,10.2,**
C05C,V08A,7.5,1.8,
C05A,V08B,1.8,0.7,*
C05B,V08B,S,,
C05C,V08B,2.3,1.2,**
C05A,V08C,3.4,0.9,
C05B,V08C,6.1,6.3,***
C05C,V08C,3.2,1.2,*
C05A,V08D,90.8,1.3,
C05B,V08D,77.1,11.9,
C05C,V08D,86.9,2.3,
C05A,V09A,8.3,1.3,
C05B,V09A,19.4,11.7,**
C05C,V09A,17.3,2.9,
C05A,V09B,2.5,0.7,
C05B,V09B,S,,
C05C,V09B,2.4,1.2,*
C05A,V09C,5.7,1.3,
C05B,V09C,S,,
C05C,V09C,4.4,1.5,*
C05A,V09D,83.5,1.8,
C05B,V09D,76,11.5,
C05C,V09D,75.8,3.3,
C05A,V10A,8.5,1.3,
C05B,V10A,7.2,5.6,**
C05C,V10A,7.5,2.2,*
C05A,V10B,3.3,1,*
C05B,V10B,S,,
C05C,V10B,2.1,1.1,**
C05A,V10C,5.7,1.3,
C05B,V10C,S,,
C05C,V10C,4.9,1.5,*
C05A,V10D,82.5,1.9,
C05B,V10D,80.3,12.4,
C05C,V10D,85.5,3.1,
C05A,V11A,35.6,2.9,
C05B,V11A,36.4,14.4,*
C05C,V11A,31.3,3.4,
C05A,V11B,3.1,1.4,*
C05B,V11B,S,,
C05C,V11B,3.6,1.9,**
C05A,V11C,6.9,2.5,*
C05B,V11C,14,11.5,**
C05C,V11C,6.7,4.1,**
C05A,V11D,36.6,4.6,
C05B,V11D,31.8,19.4,**
C05C,V11D,37.1,6.4,
C05A,V11E,53.4,4.6,
C05B,V11E,36.4,20.4,**
C05C,V11E,52.6,7,
C05A,V12A,45,3,
C05B,V12A,41.4,12.7,*
C05C,V12A,29.7,3.4,
C05A,V12B,5.3,2.4,*
C05B,V12B,S,,
C05C,V12B,4.8,2.4,**
C05A,V12C,7.6,2.9,*
C05B,V12C,S,,
C05C,V12C,8.4,3.6,*
C05A,V12D,27.8,3.7,
C05B,V12D,30.7,14.7,*
C05C,V12D,27.3,6.4,
C05A,V12E,59.4,4.5,
C05B,V12E,48.9,21.8,*
C05C,V12E,59.5,7.2,
C05A,V13A,49.5,2.5,
C05B,V13A,51.4,14.5,
C05C,V13A,37.9,4,
C05A,V13B,2.6,1.5,**
C05B,V13B,15.5,13.1,**
C05C,V13B,3.6,2.2,**
C05A,V13C,6.1,1.8,
C05B,V13C,S,,
C05C,V13C,8.9,4.1,*
C05A,V13D,34.2,3.5,
C05B,V13D,31.2,13.9,*
C05C,V13D,33.6,6.4,
C05A,V13E,57,3.2,
C05B,V13E,52.3,18.6,*
C05C,V13E,53.9,7,
C05A,V14A,43.6,3.1,
C05B,V14A,38.6,12.1,*
C05C,V14A,37.6,3.7,
C05A,V14B,1.8,0.8,*
C05B,V14B,S,,
C05C,V14B,3.5,2.6,**
C05A,V14C,3.7,1.4,*
C05B,V14C,S,,
C05C,V14C,6.2,3.1,**
C05A,V14D,31.6,3.6,
C05B,V14D,23.8,13.6,**
C05C,V14D,36.8,5.9,
C05A,V14E,62.9,3.9,
C05B,V14E,61.5,19.1,*
C05C,V14E,53.5,6,
C05A,V15A,34.3,2.8,
C05B,V15A,38.6,13.7,*
C05C,V15A,29.6,3.6,
C05A,V15B,4.3,1.9,*
C05B,V15B,S,,
C05C,V15B,5.5,2.6,*
C05A,V15C,3.7,1.6,*
C05B,V15C,S,,
C05C,V15C,7.5,4.1,**
C05A,V15D,31.5,4.3,
C05B,V15D,23.4,20.1,**
C05C,V15D,28.5,6.8,
C05A,V15E,60.5,4.7,
C05B,V15E,67.6,21,*
C05C,V15E,58.5,7.2,
C05A,V16A,52.3,2.7,
C05B,V16A,59.6,12.5,
C05C,V16A,41.2,4.2,
C05A,V16B,3.7,1.5,*
C05B,V16B,S,,
C05C,V16B,3.6,1.9,**
C05A,V16C,5.9,1.9,*
C05B,V16C,S,,
C05C,V16C,6.2,3,*
C05A,V16D,29.8,3,
C05B,V16D,19.3,10.4,**
C05C,V16D,29.9,5.9,
C05A,V16E,60.7,3.4,
C05B,V16E,56.5,19,*
C05C,V16E,60.3,5.8,
C05A,V17A,71.7,2.5,
C05B,V17A,61.8,12.5,
C05C,V17A,57.4,4.1,
C05A,V17B,17.7,2.4,
C05B,V17B,28,18.1,**
C05C,V17B,21.8,4.8,
C05A,V17C,13.4,2.1,
C05B,V17C,21.7,12.3,**
