,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
0,http://www.armslist.com/posts/5195000,For Sale:  Glock 19,"Decatur Madison, Huntsville, Alabama",$ 510,"Listed On: Saturday, February 20, 2016",Handguns,Glock                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,Mint condition Gen 3  19  comes as shown
1,http://www.armslist.com/posts/5195001,For Sale/Trade:  S&W model 2213,"West Wichita, Wichita, Kansas",$ 400,"Listed On: Saturday, February 20, 2016",Handguns,Smith & Wesson                                                                                ,22 Long Rifle                                                                                ,Single Action                                                                                ,Pistol,New never fired missing box. Very hard to find
3,http://www.armslist.com/posts/5195003,For Sale:  remington 30-06 with scope,"el dorado, Wichita, Kansas",$ 300,"Listed On: Saturday, February 20, 2016",Rifles,Remington                                                                                ,30-06 Springfield                                                                                ,Bolt Action                                                                                ,Rifle,i have a really nice remington 30-06 for sale shot it a couple times for deer season shoots fantastic has a game seeker 4-12x40 very very nice scope already scooped in also would like to sell but interested in trades also txt me at REDACTED txt preferred has 1 box of bullets that will come with no case sling does not come with
8,http://www.armslist.com/posts/5195008,For Sale:  Ruger SR 1911,"Williamsburg, Cincinnati, Ohio",$ 650,"Listed On: Saturday, February 20, 2016",Handguns,no type,no type,Double / Single Action                                                                                ,Pistol,New gun shot 12 times to much for me.650 or trade.let me know what you have to trade must be a hand gun.REDACTED
9,http://www.armslist.com/posts/5195009,For Sale:  New Walther P22,"Manassas, Northern Virginia, Virginia",$ 320,"Listed On: Saturday, February 20, 2016",Handguns,Walther                                                                                ,22 Long Rifle                                                                                ,Striker Fire                                                                                ,Pistol,Walther P22 never been fired brand new in the case. Got the gun in hopes I would like it but my hands are far too big. Awesome .22 comes with everything factory
11,http://www.armslist.com/posts/5195011,For Sale:  Stainless steel 1911,"Ferndale, Bellingham, Washington",$ 550,"Listed On: Saturday, February 20, 2016",Handguns,Remington                                                                                ,45 ACP                                                                                ,Double / Single Action                                                                                ,Pistol,"Remington 1911R1 model in lnib condition very low round count. There isn't even any bushing to barrel wear yet Shoots excellent, I have an extra set of hogue grips I can include.Open to trades just no 40 or 22 please"
13,http://www.armslist.com/posts/5195013,For Sale:  STACKON TACTICAL CABINET,"York, Harrisburg, Pennsylvania",$ 150,"Listed On: Saturday, February 20, 2016",Gun,no type,no type,no type,no type,Excellent condition..Bought brand new in Dec..will hold up to 14 guns depending on how you have the shelving arranged.Email for more pics.$150
14,http://www.armslist.com/posts/5195014,For Sale:  Reloading Brass,"North of Pittsburgh in Butler, Pittsburgh, Pennsylvania",FREE,"Listed On: Saturday, February 20, 2016",Reloading,no type,no type,no type,no type,"For Sale: I've got a large flat rate box filled to the max with mixed head stamp 223/5.56. Right at 2,500 pieces. Looking for $120 plus shipping or best offer. Also 500 pieces of brand new 45 acp Starline brass. Looking for $80 plus shipping. Thanks for looking"
15,http://www.armslist.com/posts/5195015,"For Sale:  Ruger 44 Carbine, 44 Magnum","Old Brooklyn, Cleveland, Ohio",$ 900,"Listed On: Saturday, March 5, 2016",Rifles,Ruger                                                                                ,44 Magnum                                                                                ,Semi-automatic                                                                                ,Rifle,Up for sale is my Ruger 44 Carbine.  Ruger hasnt made these in a number of years.  It is a semi-auto 44 magnum rifle.  Comes with a nice Leupold 1-4x scope.Perfect Ohio deer gun.  For sale or will trade for???
16,http://www.armslist.com/posts/5195016,For Sale:  Decked out shogun,"Glendale, Phoenix, Arizona","$ 1,000","Listed On: Saturday, February 20, 2016",Shotguns,Mossberg                                                                                ,12 Gauge                                                                                ,Pump Action                                                                                ,Shotgun,"Decked out 12 Gauge  Mossberg 500 6 shot,  shotgun. comes with $300 case, forend build in flash light, door breach muzzle break, scope, laser, custom rails and more. Used only couple of times.  Call if interested REDACTED"
17,http://www.armslist.com/posts/5195017,For Sale:  m&p bodyguard 380 auto,"Jeffersontown, Louisville, Kentucky",$ 260,"Listed On: Saturday, February 20, 2016",Handguns,Smith & Wesson                                                                                ,380 ACP                                                                                ,Double Action                                                                                ,Pistol,I got the gun not to long ago shot about 150 rounds through it noting is wrong with the gun at all I just don't like it that's why I'm selling the gun I'm asking 260 cash no trads give me a call for any questions or text me  because I can't upload any photos for some stupid reason my name is Brandon and the number two rech me at 502- 953-2224
18,http://www.armslist.com/posts/5195018,For Sale:  Smith & Wesson  Model 686 .357 Mag Revolver,"Inverness/Birmingham, Birmingham, Alabama",$ 675,"Listed On: Saturday, February 20, 2016",Handguns,Smith & Wesson                                                                                ,357 Magnum                                                                                ,Double / Single Action                                                                                ,Revolver,"Brand new, never fired Smith and Wesson Model 686 4 inch .357 Mag revolver with Hogue grip. No trades, cash only, $675 OBO"
19,http://www.armslist.com/posts/5195019,For Trade:  phone for high point or other low end gun,"Lebanon, New Hampshire, United States",Offer,"Listed On: Tuesday, March 1, 2016",Handguns,no type,no type,no type,no type,I have a Verizon LG g3 phone that I don't use anymore. Have otterbox with it. Phone is mint. Never dropped or scratched. Unlock it and switch it to your provider.
20,http://www.armslist.com/posts/5195020,Want To Buy:  Looking for a Kahr CW380,"Jefferson County, near, St. Louis, Missouri",Offer,"Listed On: Thursday, February 25, 2016",Handguns,Kahr                                                                                ,380 ACP                                                                                ,Striker Fire                                                                                ,Pistol,"I'm looking for a Kahr CW380. I'm not overly concened with cosmetics, normal pocket/holster wear,as long as has not been neglected. I'm looking to replace the Kel-Tec P-32 that now resides in my front pocket. I can pay cash or work a trade if there is something that I may be willing to part with and you are interested in."
22,http://www.armslist.com/posts/5195022,For Sale:  4300 rds of 22,"Fountain, Colorado Springs, Colorado",$ 40,"Listed On: Saturday, February 20, 2016",Ammo,no type,no type,no type,no type,Two 550 rd 55$ eachTwo boxes of 400 40$ eachFive boxes of 500 50$ eachTrade for 9mm or towards a sig mpx or scorpion evo
23,http://www.armslist.com/posts/5195023,For Sale/Trade:  Glock 22 RTF,"Oak Grove, Fort Campbell, Kentucky",$ 475,"Listed On: Saturday, February 20, 2016",Handguns,Glock                                                                                ,40 S&W                                                                                ,Striker Fire                                                                                ,Pistol,"Like new Glock 22 RTF with Fish Gill cocking serations. All original condition, approx 200 rounds fired. 2 factory magazines, no box. Only trade interest would be for a Glock 17 or 19. Text REDACTED."
25,http://www.armslist.com/posts/5195025,For Sale:  IWB Crossbreed Mag pouches,"Greenville, North Carolina, United States",$ 40,"Listed On: Friday, March 11, 2016",Holsters,no type,no type,no type,no type,"Have 2 Crossbreed IWB tuckable double mag pouches. 1 for single stack, 1 for double stack. Confirmed fit for double stack Glock & XD, single stack 9 or 45. Come see and check fit. Only worn a couple of times. Like new. Upgraded horsehide backing. Cost $75 new (each). Selling for $40 each. Call, text, or email. REDACTED"
26,http://www.armslist.com/posts/5195026,For Trade:  Ruger 96  17hmr,"brentwood, Nashville, Tennessee",Offer,"Listed On: Thursday, March 3, 2016",Rifles,Ruger                                                                                ,17 HMR                                                                                ,Lever Action                                                                                ,Rifle,"Beautiful, rarely fired factory original lever action in rare 17hmr, will send you apic"
27,http://www.armslist.com/posts/5195027,For Sale:  InForce APL 200 Lumen Pistol Light Gen2,"Lynnwood, Seattle, Washington",$ 120,"Listed On: Thursday, February 25, 2016",Tactical,no type,no type,no type,no type,"Selling a brand new InSight APL. Comes with light an manual, no box. Just got it, threw out the box, and changed my mind. Light is super bright, easy to use, and light. Retails for $150 on amazon. Asking $120 obo. 
 
INFORCE APL - Auto Pistol Light Weaponlight Universal Black Bilateral paddle switches offer: on/off switch operation with either hand, constant and momentary White LED: 200 Lumens @ 1.5 Hours"
28,http://www.armslist.com/posts/5195028,For Sale:  BRAND NEW IN BOX Ruger 10/22 TAKEDOWN Rifle with Accessories,"South Side, Indianapolis, Indiana",$ 399,"Listed On: Saturday, February 20, 2016",Rifles,Ruger                                                                                ,22 Long Rifle                                                                                ,Semi-automatic                                                                                ,Rifle,"As stated, BRAND NEW (I just bought it YESTERDAY!!!) NEVER FIRED hard to find Ruger 10/22 TAKEDOWN Rifle Model 11100 with All Factory Parts including case in shipping box. Standard Stainless Steel Barrel. I excitedly bought it yesterday and brought it home, and as soon as the woman of the house saw it she FLIPPED, which is why I regrettably am selling it today. I live in South Indy,  ready to sell ASAP. $399 firm. Thank you."
29,http://www.armslist.com/posts/5195029,"Want To Buy:  7,62x54R, 7,62x25, 9mm","Everett, Everett, Washington",$ 1,"Listed On: Sunday, February 28, 2016",Ammo,no type,no type,no type,no type,"Looking for ammo;7,62x54R, 7,62x25T, 7,62x39, 9mm Please let me know what you got.Thanks"
31,http://www.armslist.com/posts/5195031,For Sale:  Marlin 30-30 336,"N topeka, Topeka, Kansas",$ 325,"Listed On: Saturday, February 20, 2016",Rifles,Marlin                                                                                ,30-30 Winchester                                                                                ,Lever Action                                                                                ,Rifle,Older Marlin 30-30 336 in great shape. Has only 40 rounds through it and I have no use for it. I'll throw in some rounds as well
34,http://www.armslist.com/posts/5195034,For Sale:   Sub 2000 KelTec Threaded Barrel GLOCK 19 9mm,"LaPorte - NWI, South Bend, Indiana",$ 375,"Listed On: Friday, April 29, 2016",Rifles,Kel-Tec                                                                                ,9mm Luger (9x19)                                                                                ,Semi-automatic                                                                                ,Rifle,"Please read the entire ad to determine if you are willing to meet the terms of sale and or if your question is answered within. Serious inquiries only. Price firm. No trades. Will not respond to offers below price.  Thank you. If the ad is active the item is available. Low round count Gen 1 with professionally threaded barrel. Have used with suppressor - threads are perfect. Picture illustrates how far the rifle will fold currently with the stock sight in place. It was professionally moved back to allow threads. I purchased new. Believe it was shipped with one 10 rd GLOCK mag. That is what will be included. Signed bill of sale, legibly printed name, serial number of rifle. Show valid IN DL. No information will be recorded Contact thru Armslist email. If you commit to buy I will call or text you if you would like. Price is firm. Cash only. Meet in LaPorte city limits and location will be dependent on your inbound route / location for your convenience. Indy or South(ish) buyers can meet in Eastern LaPorte County about 20 miles West of Hwy 31. Thank you for looking.  IN Residents only. No shipping."
35,http://www.armslist.com/posts/5195035,For Sale:  410 Shotgun,"West Seattle, Seattle, Washington",$ 350,"Listed On: Monday, March 7, 2016",Antique,no type,no type,no type,no type,"Iver Johnsons Arms and Cycle Works, Fitchburg, MASS USAOld well maintained chrome 410 gauge choke barrel and lug forged single shot shotgun.  #39079  Has recently had all insides reworked by gunsmith for $200.CHROME NO LONGER MADEAll offers considered..please see my other listings."
37,http://www.armslist.com/posts/5195037,Want To Buy:  Bersa Thunder 9 Ultra Compact Pro,"West Lafayette, Lafayette, Indiana",$ 350,"Listed On: Saturday, February 20, 2016",Handguns,Bersa-Eagle                                                                                ,9mm Luger (9x19)                                                                                ,Double / Single Action                                                                                ,Pistol,Looking to buy a Bersa Thunder 9 UC Pro.
38,http://www.armslist.com/posts/5195038,For Sale:  Ruger Mini-14 Ranch Rifle,"North of Austin, Austin, Texas",$ 675,"Listed On: Saturday, February 20, 2016",Rifles,Ruger                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"This is a beautiful wood stocked Ruger Mini-14 Ranch Rifle.Caliber: .223 Rem Metal Condition: Very Good Wood Condition: Very Good Bore Condition: Shiny and Bright Barrels: 18 Triggers: Factory Trigger Stock: Beautiful Smooth Wood Stock Stock Dimensions:12 1/2"" LOP Fore End: Smooth Wood Forearm Butt Pad: Curved Metal Butt Cover Weight: 6.8 lbs Sights: Front Post/Rear Flip Extras: Two 30 Round Magazines, One 5 round magazine."
39,http://www.armslist.com/posts/5195039,For Sale:  Smith Wesson K/L grips,"SE Aurora, Denver, Colorado",$ 45,"Listed On: Saturday, February 20, 2016",Handguns,Smith & Wesson                                                                                ,357 Magnum                                                                                ,Double Action                                                                                ,Revolver,Smith & Wesson K/L frame new production wood Target grips. Bought from the official Smith & Wesson website for around $75-$80.00 dollars and have not used them. Asking $45.00 dollars OBO
40,http://www.armslist.com/posts/5195040,For Sale/Trade:  Ball m2(30-06),"Medina, Jackson, Tennessee",$ 50,"Listed On: Monday, March 14, 2016",Ammo,no type,no type,no type,no type,3 boxes of .30 cal m230-06 fmj2 boxes with 20 each other 16good conditioncollect or shootnon corrosive
41,http://www.armslist.com/posts/5195041,For Trade:  300 Blackout,"Houston, Houston, Texas",Offer,"Listed On: Saturday, February 20, 2016",Rifles,no type,no type,no type,no type,"LOOKING TO TRADE A MINT BCI DEFENSE SQS15 IN 300 BLACKOUT.  HAS UPGRADES MAGPUL MOE GRIP AND FIXED STOCK.  ALSO, THE RAIL ARE DIAMONDHEAD (WAS 175.00).  GOT IT FOR A HOG HUNT WITH SOME FRIENDS THIS SUMMER BUT THEY ARE ALL USING 5.56 SO THATS GOING TO BE MY ROUTE.  LOOKING FOR A NICE S&W 44 OR 2 9MM GLOCKS.  FORGOT, WILL COME WITH BRAND NEW BUSHNELL TRS-25 WITH AR RISER AND 60RDS OF SUB SONIC, 60 RDS OF SUPER SONIC AND 60 RDS OF HOG HAMMER.  TEXT OFFERS REDACTED"
42,http://www.armslist.com/posts/5195042,For Sale:  XDM 40 bi tone,"Burbs, Milwaukee, Wisconsin",$ 650,"Listed On: Friday, February 26, 2016",Handguns,Springfield                                                                                ,40 S&W                                                                                ,Striker Fire                                                                                ,Pistol,Excellent condition Springfield XDM 40. Olive Drab/Black bi tone.  Comes with XDM kit and box. Low round count. Less than 100. No low balls. Price firm. Not interested in trades. Must show picture id. CCL preferred. Be willing ti sign bill of sale.
45,http://www.armslist.com/posts/5195045,For Sale:  38 Special Ammo,"Branchburg, New Jersey, United States",FREE,"Listed On: Saturday, February 20, 2016",Ammo,no type,no type,no type,no type,I have 6 boxes of privi partizan ammo 50 rounds each.  FMJ 130 grain.  I'm asking $14 a box or best offer.
46,http://www.armslist.com/posts/5195046,For Sale/Trade:  Walther P22,"New albany, Louisville, Kentucky",$ 325,"Listed On: Friday, March 25, 2016",Handguns,Walther                                                                                ,22 Long Rifle                                                                                ,no type,Pistol,I have a Walther P22 pink and black 22lr for sale. NIB never been shot. Looking to sell.text if interested Must be over 21 and have valid ID and sign bill of sale. REDACTEDi am an Indiana resident
49,http://www.armslist.com/posts/5195049,For Sale/Trade:  ar 15 .300 blk,"titusville, Orlando, Florida","$ 1,000","Listed On: Saturday, February 20, 2016",Rifles,no type,300 Blackout (7.62x35mm)                                                                                ,Semi-automatic                                                                                ,Rifle,.300 blk ar15 savannah river arms. With sightmark scope. Only about 50 rounds shot through. Guns od green
50,http://www.armslist.com/posts/5195050,For Sale:  Desert Eagle 1911G,"N.W. Lawton, Lawton, Oklahoma",$ 850,"Listed On: Tuesday, May 17, 2016",Handguns,Magnum Research                                                                                ,45 ACP                                                                                ,Double / Single Action                                                                                ,Pistol,"New with three factory mags, custom & stock grips, shoulder rig, holster, 100rnds of FMJ. All items are new. No trades will consider best offer if reasonable."
51,http://www.armslist.com/posts/5195051,For Sale:  Ruger LCR .22lr w/ CTC laser grips,"Rochester, Detroit, Michigan",$ 550,"Listed On: Saturday, February 20, 2016",Handguns,Ruger                                                                                ,22 Long Rifle                                                                                ,no type,Revolver,Ruger .22lr LCR with CTC laser grips in very good condition with all factory paper and box. Also include kydex belt slide holster. $550 obo. NO TRADES!
52,http://www.armslist.com/posts/5195052,"For Sale:  Sale or Trade Glock 21SF, 31, 23","Jenks, Tulsa, Oklahoma",$ 1,"Listed On: Saturday, February 20, 2016",Handguns,Glock                                                                                ,no type,no type,Pistol,"I have 3 Gen 3 Glocks that I am selling or will to trade for a Gen 3 or 4 Glock 17 or 34... All still have factory grease, and have never been fired... All Come with box and 2 factory mags... The 31 has factory True Dot Night Sights... I can add cash for the right deal...1. Glock 21 SF (45ACP); Full size; $500 obo2. Glock 21 w/NS (357 Sig); Full size; $475 obo3 Glock 23 (40 Cal); Mid Size; $475 obo"
54,http://www.armslist.com/posts/5195054,For Sale/Trade:  Ezgo,"Clanton, Birmingham, Alabama","$ 3,500","Listed On: Saturday, February 20, 2016",Rifles,Barrett                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,2010 ezgo golf cart
56,http://www.armslist.com/posts/5195056,For Sale:  Ruger 77/22,"lEXINGTON, Oklahoma City, Oklahoma",$ 525,"Listed On: Friday, February 26, 2016",Rifles,Ruger                                                                                ,22 Long Rifle                                                                                ,Bolt Action                                                                                ,Rifle,FOR SALE----------Like new Ruger 77/22 Bolt action 22lr with a 2-7x32 Tasco scope. Fine shooting and very accurate rifle. Classic black with olive green inserts. Near new condition. A quality firearm that will not last long. Give me a call at REDACTED.
59,http://www.armslist.com/posts/5195059,For Trade:  Kimber Pro Carry ii 9mm,"Fairfield, Cincinnati, Ohio",Offer,"Listed On: Saturday, February 20, 2016",Handguns,Kimber                                                                                ,9mm Luger (9x19)                                                                                ,Single Action                                                                                ,Pistol,Looking to trade stainless pro carry 9mm. Comes as it did and everything from Kimber. Never carried less than 150 faultless rounds down it.
60,http://www.armslist.com/posts/5195060,For Sale:  Glock G43 NIB,"New albany, Louisville, Kentucky",$ 470,"Listed On: Friday, March 25, 2016",Handguns,Glock                                                                                ,no type,no type,Pistol,"Brand new Glock G43 9mm. Never shot, new in box. not looking to trade.Must have valid ID, 21+ and sign bill of sale. Price is firm.text if interested.REDACTEDi am an Indiana resident."
61,http://www.armslist.com/posts/5195061,For Sale/Trade:   Ruger LC9 9mm,"East, Wichita, Kansas",$ 380,"Listed On: Friday, February 26, 2016",Handguns,Ruger                                                                                ,9mm Luger (9x19)                                                                                ,Striker Fire                                                                                ,Pistol,"I have a ruger LC9 9mm shoots great has had like 250 rounds through it wanting to trade for another gun, it comes with a couple boxes of ammo and fobus paddle case text me REDACTED"
62,http://www.armslist.com/posts/5195062,"For Sale:   AR15 Bolts 7.62x39, 6.8 SPCII, 5.56 Nato, 5.45x39 NiB New","Dickson, Nashville, Tennessee",$ 40,"Listed On: Saturday, March 26, 2016",Gun,no type,no type,no type,no type,Willing to ship. I have a new 7.62x39 bolt for sale. It has never been used. I bought several caliber bolts and barrels just in case I could not find ammo a couple years back.All are Nickel Boron coated. I have the following calibers available;5.45x39 $465.56 Nato $406.8 SPCII $467.62x39 $46
63,http://www.armslist.com/posts/5195063,For Sale/Trade:  1:10 e revo brushless rc truck 65mph,"Mingo ohio, Akron, Ohio",$ 650,"Listed On: Saturday, February 20, 2016",Miscellaneous,no type,no type,no type,no type,"Traxxas e revo brushless 1:10 4x4 rc truck. Have receipt and box. Paid over $800 for truck in December 2015. Ran 4 times and I play with my Savage and yeti more and this sits on shelf. All stock, comes with castle creations motor and ESC to run 6s lipos. Extra axles and stuff. Has traxxas stability management and TQI remote. Can bluetooth to smartphone and see speed,temp,rpm etc. Make adjustments on phone. No problems. Sell for $650 or trade for sig,kimber,walther,45-70 lever action, 44mag lever action."
64,http://www.armslist.com/posts/5195064,For Sale:  Ruger 10/22 Carbine 40th Anniversary,"West Seattle, Seattle, Washington",$ 450,"Listed On: Monday, March 7, 2016",Rifles,Ruger                                                                                ,22 Long Rifle                                                                                ,no type,Rifle,"Super clean Ruger 22 with scope (needs be sighted in).  Has an extra quiet attachment that I can sell separate.  Ruger 10-22, 40th Anniversary carbine .22 lr, s/n 256-609**  EXCELLENT CONDITIONONLY 3 rounds have been fired through this rifle.  Great gift!All offers considered..please see my other listings."
65,http://www.armslist.com/posts/5195065,For Sale:  Kershaw tactical,"Medina, Jackson, Tennessee",$ 20,"Listed On: Sunday, March 20, 2016",Knives,no type,no type,no type,no type,New tactical knife and led flashlight5 inch closed 3.5 inch bladethumb assistpocket clipglass break
67,http://www.armslist.com/posts/5195067,For Sale:  mossberg 500 youth turkey,"sheboygan falls, Sheboygan, Wisconsin",$ 325,"Listed On: Thursday, March 17, 2016",Shotguns,Mossberg                                                                                ,20 Gauge                                                                                ,Pump Action                                                                                ,Shotgun,For sale is a new Mossberg 500 youth camp turkey gunFiber optic sightsNew - unfired.   No box20 guage
68,http://www.armslist.com/posts/5195068,For Sale/Trade:  Gone.,"Atlanta Area, Atlanta, Georgia",$ 5,"Listed On: Saturday, February 20, 2016",Handguns,Colt                                                                                ,38 S&W Special                                                                                ,Double / Single Action                                                                                ,Revolver,Gone.
69,http://www.armslist.com/posts/5195069,For Sale:  AR Pistol,"Pelham, Birmingham, Alabama",$ 750,"Listed On: Saturday, February 20, 2016",Rifles,American Tactical Imports                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,ATI Lower. Cheek rest. Bushnell Trophy optic. Pmag. Selling to fund motorcycle resto project.
70,http://www.armslist.com/posts/5195070,Want To Buy:  Looking for another 1911,"Derry, Pittsburgh, Pennsylvania",Offer,"Listed On: Friday, February 26, 2016",Handguns,no type,no type,no type,no type,Looking for another 1911..preferably with a rail.. but not required. I have a Sig p320 (striker fired) in full fde..2 mags..kydex holster.. and night sites to trade towards it. To sweeten the deal i can throw in a new tlr1 hl light. Over 600 lumes..Lemme know what ya got.. my trade must be involved.. thanks
71,http://www.armslist.com/posts/5195071,For Sale:  SGM tacticle Glock 22 31rd mags,"North suburbs close to WI.border, Illinois, United States",$ 45,"Listed On: Saturday, February 20, 2016",Magazines,no type,no type,no type,no type,"I have 2 brand new in package SGM tacticle glock 22 31 Rd stick mags for sale,never been used brand new! For use with glock 22,23 gen 3 or 4 and can be used with the keltec sub 2000 40 Cal.BOTH MAGS SOLD TOGETHER FOR $45"
73,http://www.armslist.com/posts/5195073,For Sale/Trade:  NC Star 3-9 with carry handle mount,"Forest Grove Hillsboro, Portland, Oregon",$ 25,"Listed On: Sunday, March 6, 2016",Optics,no type,no type,no type,no type,"Came with a rifle I purchased.  It seems to be in good condition and as clear as this type of glass should be.  Good price for a budget shooter, or would work great on a rimfire.
 
Shipping/PayPal fine but buyer pays all fees.  Shipping $7 flat rate.
 
Call or text Ryan REDACTED"
74,http://www.armslist.com/posts/5195074,For Sale:  Beretta PX4 Storm SC 9mm,"Belmont, Nashville, Tennessee",$ 500,"Listed On: Saturday, February 20, 2016",Handguns,Beretta USA                                                                                ,9mm Luger (9x19)                                                                                ,Double / Single Action                                                                                ,Pistol,"Hello, I bought this Beretta px4 sub compact in 9mm a few weeks ago and ran through 100 rounds of ammo at the local gun range. I just decided I would like to go with either a compact or full size version of this gun. The price is firm. And the purchaser must be willing to show id and sign bill of sale."
76,http://www.armslist.com/posts/5195076,For Trade:  glock 27 for ak or sks,"marion, Arkansas, United States",Offer,"Listed On: Saturday, February 20, 2016",Handguns,Glock                                                                                ,40 S&W                                                                                ,Striker Fire                                                                                ,Pistol,Gen 4 undercut trigger guard removed finger groove and smoothed left side of grip for carry comfort. Comes with everything you get when new 3-9rnd mags and one 22rnd factory glock mag around 500 rnds fired and minor holster wear less than 1 year old txt REDACTED for info or pics. wont let me upload pics ftf transaction only no shipping
77,http://www.armslist.com/posts/5195077,For Sale:  Remington 572 Fieldmaster,"lexington, Oklahoma City, Oklahoma",$ 225,"Listed On: Saturday, February 20, 2016",Rifles,Remington                                                                                ,22 Long Rifle                                                                                ,Pump Action                                                                                ,Rifle,"FOR SALE---------Remington 572 Fieldmaster Slide-action(pump) 22lr rifle. Excellent condition and very good shooting, Vintage rifle.  Hard to find, so give me a call at REDACTED."
78,http://www.armslist.com/posts/5195078,For Sale:  S&W Mod 686 (No dash) 357 magnum revolver,"N Seattle, Seattle, Washington",$ 725,"Listed On: Monday, April 18, 2016",Handguns,Smith & Wesson                                                                                ,357 Magnum                                                                                ,Double / Single Action                                                                                ,Revolver,"This was bought back in 91 and has had it pretty easy so far. I have the original box (though it's seen better days), which identifies this revolver as the original 686 model, known as a 'no dash'. This particular handgun has the red ramp front sight, and has been fitted with a Pachmayr grip. The gun itself is in good condition. Gun is pre-lock.Looking at prices these things have acually sold at, I've arrived at 725 as a reasonable price. No trades, please. Will not ship.Thanks for looking!"
79,http://www.armslist.com/posts/5195079,For Sale/Trade:  Smith & Wesson SW1911,"West Bend, Milwaukee, Wisconsin",$ 800,"Listed On: Friday, February 26, 2016",Handguns,Smith & Wesson                                                                                ,45 ACP                                                                                ,Single Action                                                                                ,Pistol,"For sale is a great condition Smith and Wesson SW1911 in 45 ACP.  It comes with the original case, take down tool, manual and 2 mags.  I am asking $800 or might trade for other quality firearms."
80,http://www.armslist.com/posts/5195080,For Sale/Trade:  Winchester model 94,"South, Nashua, New Hampshire",$ 1,"Listed On: Friday, February 26, 2016",Rifles,Winchester                                                                                ,30-30 Winchester                                                                                ,Lever Action                                                                                ,Rifle,Up for sale or trade is a near mint model 94. It's manufacturing year is mid 70s. Not much to say other than its flawless...no issue and the pictures speak for themselves. I'm really just looking for a lever gun in 45colt. This is the 30 30 and I have a box of ammo as well.
81,http://www.armslist.com/posts/5195081,For Sale/Trade:  FIE little ranger SAO revolver.,"Belfair, Seattle, Washington",$ 150,"Listed On: Saturday, February 20, 2016",Handguns,no type,no type,Single Action                                                                                ,Revolver,"FIE little ranger.  Only has 22mag cylinder. Neat little single action plinker with a safety. Is in fair condition, has some finish loss on rear sight groove and loading gate."
82,http://www.armslist.com/posts/5195082,For Sale:  Ruger Bisley 454 Casull,"West, Omaha, Nebraska",$ 650,"Listed On: Saturday, February 20, 2016",Handguns,Ruger                                                                                ,454 Casull                                                                                ,Single Action                                                                                ,Revolver,"I have a beautiful Ruger Super Blackhawk Bisley 454 Casull . I have only fired 50 rounds of 45 Colt through her. Extremely accurate and built like a tank. No scratches or dents and looks new. Only trade considered is a S&W 686 (357 Mag)  6"" barrel. Asking $650. Must have a CCW or Firearm Purchase Certificate."
83,http://www.armslist.com/posts/5195083,For Sale:  Springfield XD .45,"North of Austin, Austin, Texas",$ 475,"Listed On: Saturday, February 20, 2016",Handguns,Springfield                                                                                ,no type,Single Action                                                                                ,Pistol,"Springfield Model XD 45 semi auto pistol that fires a ACP round. It features accessory rail, 3 dot sights, quantity of 3 of the 13 round magazines, original hard case, factory holster, factory speed loader, XD cable lock (with both keys), original owners manual, and has a 4"" barrel. This gun is in great shape, and also comes with a blackhawk paddle holster.Scam Alert Never Send Cash, Check or Money Order to Anyone! Scam Alert"
84,http://www.armslist.com/posts/5195084,For Sale:  Mossberg 88 Maverick Tactical 12 Gauge,"Fort Bragg / Fayetteville, Fayetteville, North Carolina",$ 300,"Listed On: Saturday, February 20, 2016",Shotguns,Mossberg                                                                                ,12 Gauge                                                                                ,Pump Action                                                                                ,Shotgun,"Mossberg 88 Maverick Security model chambered in 12 Gauge 2 3/4 or 3in. Gun has added ATI M4 style removable stock, recoil pad, 6rd side saddle, and heat shield. Gun is well used and always goes bang like you would expect a Mossberg to. Selling it because I really want a Glock 34 gen 3."
85,http://www.armslist.com/posts/5195085,For Sale:  1994 Procraft 17' bassboat,"Mingo ohio, Akron, Ohio","$ 4,000","Listed On: Saturday, February 20, 2016",Fishing,no type,no type,no type,no type,"Selling $4000 1994 Procraft Bassboat 170B. Has mariner 115hp oil injection 2 stroke 4cyl. Runs great with power trim tilt. 17' long and 84"" beam. Has 3 marine batteries, live well,rod storage and some other storage compartments. Has 2 anchors, good working bilge and live well pump. Oar,transom saver,flares,life vest,fire extinguisher, foot control trolling motor, no fish finders. Fuel gauge needs a new float in fuel tank. Has 26gal tank, trailer has new wiring and good tires. Have title for boat, a title for motor and a registration for trailer. Has a chip in boat above water line but not bad. Clear coat needs buffed. Sell for $4000"
88,http://www.armslist.com/posts/5195088,For Trade:  Single shot 12ga. For ???,"Pineville, Kentucky, United States",Offer,"Listed On: Saturday, February 20, 2016",Shotguns,no type,12 Gauge                                                                                ,Single Shot                                                                                ,Shotgun,"I have a great condition single shot 12 ga. I would love to trade for maybe a pistol or somthing... it's a kassnar imported gun, made in korea... at 40 yards it held a tight pattern and with the gun being full choke, I was not disappointed. Perfect gun to start out with or pass down generations.. very reliable! Make an offer I'm willing to listen.."
