,url,title,location,price,post date,category,manufacturer,caliber,action,firearm type,postcontent
275,http://www.armslist.com/posts/5195275,"For Sale:  Glock 27 gen3 w/ night sights, 3 mags","Brighton, Denver, Colorado",$ 400,"Listed On: Saturday, February 20, 2016",Handguns,Glock                                                                                ,40 cal                                                                                ,Double Action                                                                                ,Pistol,"Glock 27 .40 s&w with original Glock case , 3 mags one with Pearce pinky extension. Bright trijicon night sights.its a Glock what else can I say?can meet at my ffl in Hudson. $20 flat fee for transfer including $7 state fee. Only 30 minutes from Denver"
276,http://www.armslist.com/posts/5195276,For Sale:  Flambeau Outdoors Rifle Case,"Haymarket, Northern Virginia, Virginia",$ 25,"Listed On: Sunday, March 27, 2016",Miscellaneous,no type,no type,no type,no type,"Safe Shot(tm) Oversized Gun Case SINGLE GUN CASE. The Safe Shot Series of cases live up to their name in several of ways. These cases protect your guns from bumps and bruises while preventing unwanted trespassers into the case. The guns are blanketed with egg-shell foam padding, four locking points and piano style hinge to prevent opening during transport. Safe Shot Cases... Protect your investments. Made in the U.S.A  53-1/2"" L x 13-1/2"" W x 4-1/2"" H. Four locking points for extra security. Combination of piano style hinge and brass hinge provide durability, safety and protection. Oversized single gits most scoped rifles/ Durable egg-shell foam.  Few years old but in good shape."
277,http://www.armslist.com/posts/5195277,For Sale:  Glock 19 Gen 4 with night sights,"Elizabethtown, Pennsylvania, United States",$ 515,"Listed On: Friday, February 26, 2016",Handguns,Glock                                                                                ,no type,Striker Fire                                                                                ,Pistol,"Comes with 3 Glock 15 round magazines, Glock night sights, box, and everything else it came with as new. Not interested in trades. Transfer at Trop Gun Shop in Elizabethtown, PA for $20 (buyer pays)."
279,http://www.armslist.com/posts/5195279,For Sale:  trade,"massillon, Akron, Ohio",$ 425,"Listed On: Saturday, February 20, 2016",Handguns,Charter Arms                                                                                ,44 Special                                                                                ,Double / Single Action                                                                                ,Revolver,i have a charter arms 44 spl revolver has some amo anda hard case as well great shape looking for a 9 mil  ou can text for pics or more info at REDACTED
281,http://www.armslist.com/posts/5195281,Want To Buy:  Sig P224,"Lex, Columbia, South Carolina",Offer,"Listed On: Saturday, February 20, 2016",Handguns,Sig Sauer                                                                                ,40 S&W                                                                                ,Double Action                                                                                ,Pistol,"Looking for a Sig P224 in .40 S&W.  Preferably DAK with night sights.  Not looking to pay the new price for a used one, but willing to pay a fair price."
283,http://www.armslist.com/posts/5195283,For Sale:  IWI Tavor 5.56,"72nd & L st., Omaha, Nebraska","$ 1,600","Listed On: Sunday, February 21, 2016",Rifles,Israel Weapon Industries                                                                                ,5.56×45mm NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"I have a basically new IWI Tavor seen in the picture. (yes it is the EXACT gun in the picture. I took the picture and didn't pull it from Google or some other site). It has had only 20 rounds through it... Took it out once with a bunch of my other guns and shot a 20round magazine through it.It just sits in the safe and I can't justify keeping it. $1,600 is the absolute cheapest you will find a Tavor in this un-used condition for. Price is firm and I don't want trades. Comes with original box, paperwork, cleaning kit, etc.Manufactured in late 2015 and is the latest Tavor model with upgraded trigger group. Chambered in 5.56/.223Black in color with 16.5"" barrel.Right hand model. Has built in flip up sights and a glowing tritium front sight insert.Threaded barrel with removable muzzle break.Call or text me: REDACTEDI'm located in Omaha, NE if you are close and would like to come take a look at it.Otherwise I can ship it to your local FFL for only $45."
284,http://www.armslist.com/posts/5195284,For Sale:  Browning Bar 308,"SW Oklahoma City, Oklahoma City, Oklahoma",$ 700,"Listed On: Saturday, February 20, 2016",Rifles,Browning                                                                                ,308/7.62 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,I have a 308 Browning Bar Belgium made for sale.
285,http://www.armslist.com/posts/5195285,Want To Buy:  Looking for a lead sled...,"NE, Colorado Springs, Colorado",Offer,"Listed On: Saturday, February 20, 2016",Targets,no type,no type,no type,no type,"Would like to buy a lead sled, any condition ok...."
286,http://www.armslist.com/posts/5195286,Want To Buy:  709 slim,"Bentonville, Fayetteville, Arkansas",Offer,"Listed On: Saturday, February 20, 2016",Handguns,Taurus                                                                                ,9mm Luger (9x19)                                                                                ,Double / Single Action                                                                                ,Pistol,I'm looking to buy with cash.
287,http://www.armslist.com/posts/5195287,"For Sale:  DPMS, Luth AR, UTG heavy stainless barell 1/8 Adjustable trigger, Aero Precision Sniper","south, Denver, Colorado",$ 960,"Listed On: Saturday, February 20, 2016",Rifles,DPMS                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic,no type,"This is a very nice custom built Sniper AR with a dpms lower with adjustable trigger, anti roll trigger pin straps,  Aero precision freedom flag upper, heavy 1/8 stainless SS barrel, utg super slim hand guard, and a very slick Luth AR adjustable stock.  This rifle has been shot very little and the barrel has very nice rifling with deep groves. Adjustable trigger , UTG gas block with rail mounts.  $960 oboScope and rings are not included call or email for more pics719-36zer0-999fiveSale must go through an ffl transfer fee is about $25"
288,http://www.armslist.com/posts/5195288,For Sale:  Used Aimpoint CompM4 with kill flash hider,"Winchester, TN, Nashville, Tennessee",$ 425,"Listed On: Saturday, February 20, 2016",Optics,no type,no type,no type,no type,i have for sale a used Aimpoint CompM4 with kill flash hider and rubber caps. This is a fully functional CompM4. There coating does show some signs of wear. More pictures available upon request.
291,http://www.armslist.com/posts/5195291,Want To Buy:  WTB Glock,"Smithfield, Raleigh / Durham / CH, North Carolina",Offer,"Listed On: Saturday, February 20, 2016",Handguns,Glock,no type,no type,no type,"Im looking for a good used Glock 26, or maybe a 27. I've got cash and have my CCP."
292,http://www.armslist.com/posts/5195292,"For Sale:  Smith and Wesson Chiefs Special CS40 stainless 3 mags, case","Brighton, Denver, Colorado",$ 700,"Listed On: Wednesday, March 9, 2016",Handguns,Smith & Wesson                                                                                ,40 S&W                                                                                ,Double / Single Action                                                                                ,Pistol,"Smith and Wesson chiefs special CS40 .40 caliber.comes with three mags and original case s&w hogue gripssingle/double action. Mags hold seven rounds each. This gun is quite rare. Don't miss out on this!great shape alloy frame with stainless slide, great carry guni can meet at my local Ffl in Hudson, he charges a flat $20 fir transfer that includes $7 state fee. Located 30 minutes from denver"
293,http://www.armslist.com/posts/5195293,For Sale:  delete,"North of Denton, Dallas, Texas",FREE,"Listed On: Saturday, February 20, 2016",Ammo,no type,no type,no type,no type,delete
295,http://www.armslist.com/posts/5195295,For Sale:  Kel-Tec P32 For Sale,"warrenton, Northern Virginia, Virginia",$ 275,"Listed On: Sunday, February 28, 2016",Handguns,Kel-Tec                                                                                ,32 ACP                                                                                ,Double Action                                                                                ,Pistol,"LNIB KEL-TEC P32 32 acp for sale. Im selling it becasue i got it for pocket carry but it is too small for my hands to shoot. Comes with two magazines. original keltec hard case.v4 boxes of 32 auto fmj rounds. Also comes with a pocket holster. buyer must have virginia drivers license and be a virginia resident, also buyer must be willing to sign a bill of sale."
297,http://www.armslist.com/posts/5195297,For Sale:  Glock 17 Gen 4,"Atlanta, Atlanta, Georgia",$ 500,"Listed On: Saturday, March 5, 2016",Handguns,Glock                                                                                ,no type,Striker Fire                                                                                ,Pistol,Glock 17 Gen 4Stippled/UndercutDawson Precision FO Sights3 Mags
298,http://www.armslist.com/posts/5195298,For Sale:  winchester model 12,"sheboygan falls, Sheboygan, Wisconsin",$ 600,"Listed On: Thursday, March 17, 2016",Shotguns,Winchester                                                                                ,12 Gauge                                                                                ,Pump Action                                                                                ,Shotgun,"For sale is a exquisite winchester model 1212 gaugeOverall condition better than 95%30"" full choke barrel"
300,http://www.armslist.com/posts/5195300,For Sale:  PSA AR 15 5.56 223 New Palmetto,"north, Colorado Springs, Colorado",$ 670,"Listed On: Sunday, March 6, 2016",Rifles,Palmetto State Armory                                                                                ,223/5.56 NATO                                                                                ,Semi-automatic                                                                                ,Rifle,"PSA AR 15 Rifle in 5.56 / 223 New never firedMid Length 16"" barrel Palmetto State Armory"
302,http://www.armslist.com/posts/5195302,For Trade:  two guns,"massillon, Akron, Ohio",Offer,"Listed On: Saturday, February 20, 2016",Shotguns,Mossberg                                                                                ,16 Gauge                                                                                ,Bolt Action                                                                                ,Shotgun,i have a 16 ga bolt action mossberg and sons with ammo has adjustable choke good condition  for trade for anything10 ga new england single shot 5 shells with it trade for anything                                                                        or will trade both for right one like hand gun   text for pics REDACTED
303,http://www.armslist.com/posts/5195303,For Trade:  Cusotm 2011,"Birmingham, Birmingham, Alabama",Offer,"Listed On: Saturday, February 20, 2016",Handguns,no type,9mm Luger (9x19)                                                                                ,Single Action                                                                                ,Pistol,I have a fully custom 2011 for trade only the best parts used over 3.5k invested in buil. CK Arms slide and frame SVI grips. All Ed brown HD or willson combat internals to much to list have all part bags.
304,http://www.armslist.com/posts/5195304,For Sale:  Ruger Mark 3 hunter,"Guthrie, Oklahoma City, Oklahoma",$ 425,"Listed On: Saturday, February 20, 2016",Handguns,Ruger                                                                                ,22 Long Rifle                                                                                ,Single Action                                                                                ,Pistol,Stainless fluted bull barrel Mark three Hunter like new in box with 3 mags.
306,http://www.armslist.com/posts/5195306,For Sale:  Ak-47,"Hartland, Milwaukee, Wisconsin",$ 650,"Listed On: Saturday, February 20, 2016",Rifles,Century International Arms                                                                                ,7.62x39                                                                                ,Semi-automatic                                                                                ,Rifle,"Its a cantury arms VZ2008 sporter. Just don't shoot it like I thought I'm more of an AR guy it has 5 mags, bayonet, tool/cleaning kit, magazines pouch. I'm looking for 650 cash but would rather trade. I like any compact or fullsize glocks they'll take priority. But I'm open to anything interesting. Shoot me an offer REDACTED"
307,http://www.armslist.com/posts/5195307,For Sale:  Definitive Arms DAKM4150 AK47,"Lynden, Bellingham, Washington","$ 1,200","Listed On: Saturday, February 20, 2016",Rifles,no type,7.62x39                                                                                ,Semi-automatic                                                                                ,Rifle,"I was ableft to magically buy one of these hard to find AKs after waiting for months for them to come back in stock at Atlantic firearms. I got  the email and snatched one up up before they sold out again. My problem is I wanted a SCAR 17 as well and my wife is telling me I have to choose one. As much as I don't want to sell my ak, I have never had a SCAR and am hoping that I am not making a mistake by leaving my proven rifle for something so different. I have only put 3 mags down the the barrel and I upgraded the stock to a magpul zhukov. I'm only going to sell it witha cheap hardcase and the 1 mag it came with and if you are interested in more I may be willing to sell a couple other ones. Thanks for looking You can call or text me at REDACTEDPrice is obo"
