,Title,Release.Date,Primary.Genre,Actors,acum_real
87,Spanglish,02/04/2005,Comedy,"Adam Sandler, Aimee Garcia, Angela Goethals, Brenda Canela, Cecilia SuÃ¡rez, Cloris Leachman, Diana Hyland, Eddy Martin, James Lancaster, Jamie Kaler, Nicole Nieth, Paz Vega, Phil Rosenthal, Ricardo Molina, Sarah Hyland, Sarah Steele, Sean Smith, Shelbie Bruce, Tea Leoni, Thomas Haden Church, Victoria Luna",27135042.9999994
88,Closer,01/14/2005,Drama,"Clive Owen, Jude Law, Julia Roberts, Natalie Portman",22062393.9999997
89,Little Black Book,01/28/2005,Comedy,"Brittany Murphy, Holly Hunter, Julianne Nicholson, Kathy Bates, Ron Livingston, Stephen Tobolowsky, Yvette Nicole Brown",7372518.99999961
90,Around The Bend,01/07/2005,Drama,"Christopher Walken, Glenne Headly, Jonah Bobo, Josh Lucas, Kathryn Hahn, Michael Caine",1843415.9999992
91,"Long Dimanche de FianÃ§ailles, Un",03/18/2005,Drama,"AndrÃ© Dussollier, Audrey Tautou, Clovis Cornillac, Denis Lavant, Dominique Bettenfeld, Dominique Pinon, Gaspard Ulliel, Jean-Claude Dreyfus, Jean-Pierre Becker, Jean-Pierre Darroussin, Jerome Kircher, Jodie Foster, Julie DÃ©pardieu, Marion Cotillard, TchÃ©ky Karyo",10825940.9999994
93,xXx: State Of The Union,04/29/2005,Action,"Andrew Fiscella, Ice Cube, Nona Gaye, Peter Strauss, Samuel L. Jackson, Scott Speedman, Willem Dafoe",16922646.9999988
94,Kingdom Of Heaven,05/05/2005,Drama,"Brendan Gleeson, David Thewlis, Eva Green, Jeremy Irons, Kevin McKidd, Liam Neeson, Marton Csokas, Orlando Bloom",87010927.9999994
96,Fun With Dick And Jane,01/13/2006,Comedy,"Alec Baldwin, Angie Harmon, Garrett M. Brown, Jeff Garlin, Jim Carrey, John Michael Higgins, Laurie Metcalf, Richard Jenkins, Tea Leoni",76798511.9999997
102,Be Cool (MGM),04/08/2005,Comedy,"Christina Milian, Danny DeVito, Dwayne Johnson, Harvey Keitel, John Travolta, Kimberly J. Brown, Robert Pastorelli, Steven Tyler, Uma Thurman, Vince Vaughn",15907022.000001801
103,Bewitched,08/12/2005,Comedy,"Jason Schwartzman, Kate Walsh, Kristin Chenoweth, Michael Caine, Nicole Kidman, Shirley MacLaine, Steve Carell, Will Ferrell",42169422.0
104,Are We There Yet? (2005),03/04/2005,Comedy,"Aleisha Allen, Ice Cube, Jay Mohr, M.C. Gainey, Nia Long, Philip Bolden, Tracy Morgan",28122910.0000007
105,Into The Blue,10/14/2005,Action,"Ashley Scott, Dwayne Adway, James Frain, Jessica Alba, Josh Brolin, Paul Walker, Scott Caan, Tyson Beckford",19022124.0
107,Zelary,06/24/2005,Drama,"Anna Geislerova, Gyorgy Cserhalmi",1552002.00000016
108,"Pink Panther, The",02/10/2006,Comedy,"Beyonce Knowles, Emily Mortimer, Jean Reno, Kevin Kline, Kristin Chenoweth, Steve Martin",53069216.0
