,Title,Release.Date,Primary.Genre,Actors,acum_real
891,Stay (2005),12/09/2005,Drama,"Elizabeth Reaser, Ewan McGregor, Kate Burton, Naomi Watts, Ryan Gosling",10146958.0
894,Step Brothers,09/26/2008,Comedy,"Adam Scott, Andrea Savage, John C. Reilly, Kathryn Hahn, Ken Jeong, Mary Steenburgen, Richard Jenkins, Seth Rogen, Will Ferrell",7353369.0
895,Hancock,07/11/2008,Action,"Charlize Theron, Daeg Faerch, David Mattey, Eddie Marsan, Hayley Marie Norman, Jae Head, Jason Bateman, Johnny Galecki, Maetrix Fitten, Nancy Grace, Thomas Lennon, Will Smith",147050988.0
898,"Condemned, The (2007)",10/10/2008,Action,"Nathan B. Jones, Rick Hoffman, Robert Mammone, Steve Austin, Tory Mussett, Vinnie Jones",3211830.0
902,PrÃªte-moi ta main,09/14/2007,Comedy,"Alain Chabat, Bernadette Lafont, Charlotte Gainsbourg, Gregoire Oestermann, Wladimir Yordanoff",4667478.0
904,"Incredible Hulk, The",06/13/2008,Action,"Edward Norton, Liv Tyler, Robert Downey  Jr., Stan Lee, Tim Roth, William Hurt",125852459.0
910,Angels & Demons,05/22/2009,Suspense,"Ayelet Zurer, Cosimo Fusco, Ewan McGregor, Stellan Skarsgard, Tom Hanks, Victor Alfieri",176962193.97
913,"Mighty Heart, A",10/05/2007,Drama,"Adnan Siddiqui, Angelina Jolie, Archie Panjabi, Azfar Ali, Dan Futterman, Denis O'Hare, Irfan Khan, Jillian Armenante, Will Patton, Zachary Coffin",5624340.00000001
914,Things We Lost In The Fire,12/28/2007,Drama,"Alexis Llewellyn, Alison Lohman, Benicio Del Toro, David Duchovny, Halle Berry, John Carroll Lynch, Micah Berry",7708083.99999998
916,Mr. Bean's Holiday,04/05/2007,Comedy,"Jean Rochefort, Max Baldry, Rowan Atkinson, Steve Pemberton, Willem Dafoe",50089598.0
920,Drama/Mex,03/02/2007,Drama,"Diana Garcia, Emilio Valdes, Fernando Becerril, Juan Pablo Castaneda, Miriana Moro",1572147.0
928,Made Of Honor,04/30/2008,Romantic Comedy,"Chris Messina, Kathleen Quinlan, Kelly Carlson, Kevin McKidd, Michelle Monaghan, Patrick Dempsey",56040083.0000001
930,Dead Silence,11/23/2007,Horror,"Amber Valletta, Bob Gunton, Donnie Wahlberg, Ryan Kwanten",23691665.0
931,Into The Wild,04/11/2008,Drama,"Catherine Keener, Emile Hirsch, Jena Malone, Kristen Stewart, Marcia Gay Harden, Vince Vaughn, William Hurt, Zach Galifianakis",1954312.0
934,"Eye, The",02/22/2008,Horror,"Alessandro Nivola, ChloÃ« Grace Moretz, Jessica Alba, Parker Posey, Rade Serbedzija",20423108.2000001
936,Speed Racer,05/09/2008,Action,"Benno Furmann, Christian Oliver, Christina Ricci, Emile Hirsch, John Goodman, Matthew Fox, Rain, Scott Porter, Susan Sarandon",63476986.0000001
937,"Topo, El (1970)",06/19/2007,Western,"Alejandro Jodorowsky, Alfonso Arau, Brontis Jodorowsky, Jose Legarreta, JosÃ© Legarreta, Mara Lorenzio",77596.9999999999
938,"Carnaval de Sodoma, El",03/27/2009,Drama,"MarÃ­a Barranco, Marta Aura",248253.0
942,Good Luck Chuck,11/16/2007,Comedy,"Chiara Zanni, Dane Cook, Dan Fogler, Jessica Alba, Michael Teigen, Michelle Harrison",23416239.0
943,Elegy,03/13/2009,Drama,"Ben Kingsley, Deborah Harry, Dennis Hopper, Patricia Clarkson, PenÃ©lope Cruz, Peter Sarsgaard",3520338.0
944,Indiana Jones and the Kingdom of the Crystal Skull,05/22/2008,Adventure,"Cate Blanchett, Harrison Ford, Igor Jijikine, Jim Broadbent, John Hurt, Karen Allen, Ray Winstone, Shia LaBeouf",113645639.0
945,Monsters vs. Aliens,04/03/2009,Animation,"Amy Poehler, Ed Helms, Hugh Laurie, Jeffrey Tambor, John Krasinski, Kiefer Sutherland, Mads Mikkelsen, Paul Rudd, Rainn Wilson, Reese Witherspoon, Seth Rogen, Stephen Colbert, Will Arnett",126334640.6
947,Aliens In The Attic,08/28/2009,Adventure,"Andy Richter, Ashley Boettcher, Ashley Tisdale, Austin Robert Butler, Carter Jenkins, Doris Roberts, J.K. Simmons, Kevin Nealon, Robert Hoffman, Thomas Haden Church",30412295.53
948,Alvin And The Chipmunks,12/21/2007,Animation,"Cameron Richardson, David Cross, Jane Lynch, Janice Karman, Jason Lee, Matthew Gray Gubler, Ross Bagdasarian Jr.",126781465.6
949,"Holy Mountain, The",05/18/2007,Drama,"Adriana Page, Alejandro Jodorowsky, Horacio Salinas, Juan Ferrara, Zamira Saunders",179892.0
951,"Ãltima mirada, La",04/12/2007,Drama,,1129772.0
955,Cloudy With A Chance Of Meatballs,09/16/2009,Animation,"Andy Samberg, Anna Faris, Bill Hader, Bruce Campbell, James Caan, Mr. T, Will Shadley",79445961.7400001
956,White Noise 2: The Light,07/12/2007,,"Adrian Holmes, Craig Fairbrass, Katee Sackhoff, Nathan Fillion",14355110.0
961,Argo,11/09/2012,Suspense,"Alan Arkin, Ben Affleck, Bryan Cranston, Chris Messina, Christopher Denham, Clea DuVall, John Goodman, Kerry Bishe, Kyle Chandler, Michael Parks, Richard Kind, Rory Cochrane, Scoot McNairy, Tate Donovan, Taylor Schilling, Victor Garber, Zeljko Ivanek",38215077.51
962,"Violin, El",04/27/2007,Drama,"Dagoberto Gama, Gerardo Taracena, Mario Garibaldi, Octavio Castro",10406778.0
966,Viva Cuba,03/16/2007,Drama,"Luis Alberto Garcia, MalÃº Tarrau Broche, Sara Cabrera Mena",335283.0
968,Love In The Time Of Cholera,12/25/2007,Drama,"Ana Claudia TalancÃ³n, Benjamin Bratt, Catalina Sandino Moreno, Fernanda Montenegro, Gina Bernard Forbes, Giovanna Mezzogiorno, Hector Elizondo, Javier Bardem, John Leguizamo, Laura Elena Harring, Liev Schreiber, Luis Fernando Hoyos, Marcela Mar, MarÃ­a Eugenia Arboleda",39277457.999999896
971,We Own The Night,01/04/2008,Drama,"Alex Veadov, Eva Mendes, Joaquin Phoenix, Mark Wahlberg, Nicolet Scaletta, Robert Duvall",8709366.99999999
972,Ellipses (Elipses),02/02/2007,Drama,Angelica Aragon,510645.000000001
974,Hotel Transylvania,09/28/2012,Animation,"Adam Sandler, Andy Samberg, David Koechner, David Spade, Fran Drescher, Jon Lovitz, Kevin James, Miley Cyrus, Molly Shannon, Steve Buscemi",187993571.99
976,Phii khon pen,04/04/2008,Horror,"Apasiri Nitibhon, Chokchai Charoensuk, Kiradej Ketakinta, Penpak Sirikul, Pitchanart Sakakorn",3942545.00000001
978,Jan Dara,02/02/2007,Drama,"Christy Chung, Eakarat Sarsukh, Santisuk Promsiri, Suwinit Panjamawat",401833.000000001
979,Bajo JuÃ¡rez: La ciudad devorando a sus hijas,10/03/2008,Documentary,,1198982.0
980,Where The Wild Things Are,04/01/2010,Adventure,"Catherine Keener, Catherine O'Hara, Chris Cooper, Forest Whitaker, James Gandolfini, Mark Ruffalo, Max Records, Paul Dano",3909069.0
981,NiÃ±as Mal,03/09/2007,Comedy,"Blanca Guerra, Camila Sodi, Cecilia Ponce, Diana Golden, Margarita Wynne, Mario PÃ©rez de Alba, Martha Higareda, Rafael Sanchez Navarro, Roberto D'Amico, VerÃ³nica Langer, Victor Gonzalez, Zaide Silvia GutiÃ©rrez",78693378.9999999
983,"Signal, The (2008)",10/02/2009,Horror,"Chad Mcknight, Cheri Christian",610711.0
985,Babylon A.D.,09/05/2008,Action,"Charlotte Rampling, GÃ©rard Depardieu, Jamel Debbouze, Mark Strong, Michelle Yeoh, Vin Diesel",35647464.600000106
986,Hitman (2007),11/30/2007,Action,"Dougray Scott, Olga Kurylenko, Robert Knepper, Timothy Olyphant, Ulrich Thomsen",26145527.0
989,Bufalo de la Noche (Night Buffalo),08/17/2007,Drama,,16389687.0
990,Mamma Mia!,09/12/2008,Comedy,"Amanda Seyfried, Christine Baranski, Colin Firth, Julie Walters, Meryl Streep, Pierce Brosnan, Stellan SkarsgÃ¥rd",32998740.000000104
991,"Wolfman, The",02/11/2010,Horror,"Anthony Hopkins, Art Malik, Asa Butterfield, Benicio Del Toro, David Schofield, David Sterne, Elizabeth Croft, Emily Blunt, Gemma Whelan, Geraldine Chaplin, Hugo Weaving, Simon Merrells",136936749.0
992,"Mummy: Tomb Of The Dragon Emperor, The",08/01/2008,Adventure,"Brendan Fraser, Isabella Leong, Jet Li, John Hannah, Luke Ford, Maria Bello, Michelle Yeoh, Russell Wong",153212015.0
993,Wanted,08/15/2008,Action,"Angelina Jolie, Chris Pratt, Common, James McAvoy, Morgan Freeman, Terence Stamp, Thomas Kretschmann",70839055.0000001
994,Pineapple Express,10/10/2008,Comedy,"Amber Heard, Bill Hader, Craig Robinson, Danny McBride, Eddie Rouse, Gary Cole, James Franco, Ken Jeong, Seth Rogen",1822403.0
999,December Boys,11/01/2007,Drama,"Christian Byers, Daniel Radcliffe, James Fraser, Lee Cormie, Teresa Palmer",2472810.2
1000,Control (2007),04/04/2008,Drama,"Alexandra Maria Lara, Craig Parkinson, Harry Treadaway, James Anthony Pearson, Joe Anderson, Polly Walker, Richard Bremmer, Samantha Morton, Sam Riley, Toby Kebbell",1155373.0
1004,Lions For Lambs,11/09/2007,Drama,"Derek Luke, Meryl Streep, Michael PeÃ±a, Robert Redford, Tom Cruise",26229735.0
1008,My Blueberry Nights,04/04/2008,Drama,"David Strathairn, Jude Law, Natalie Portman, Norah Jones, Rachel Weisz",3892434.0
1011,D.T.E.S.S.,12/12/2008,Action,"Brandon T. Jackson, Jaden Smith, Jennifer Connelly, John Cleese, John Rothman, Jon Hamm, Juan Riedinger, Kathy Bates, Keanu Reeves, Kyle Chandler, Robert Knepper, Sunita Prasad",128376248.0
1015,Avatar,12/17/2009,Science Fiction,"Giovanni Ribisi, Laz Alonso, Michelle Rodriguez, Sam Worthington, Sigourney Weaver, Stephen Lang, Zoe Saldana",564899662.499999
1019,Meet Dave,07/25/2008,Comedy,"Brandon Molale, Eddie Murphy, Ed Helms, Elizabeth Banks, Gabrielle Union, Yvette Nicole Brown",40402397.0
1020,"Definitely, Maybe",04/18/2008,Romantic Comedy,"Abigail Breslin, Elizabeth Banks, Isla Fisher, Kevin Corrigan, Kevin Kline, Rachel Weisz, Ryan Reynolds",9621763.00000002
1021,Star Trek,06/05/2009,Action,"Anton Yelchin, Bruce Greenwood, Chris Hemsworth, Chris Pine, Clifton Collins Jr., Eric Bana, Jennifer Morrison, Jimmy Bennett, III, Karl Urban, Simon Pegg, Winona Ryder, Zachary Quinto, Zoe Saldana",44552791.94
1026,P.S. I Love You,02/29/2008,Comedy,"Dean Winters, Gerard Butler, Gina Gershon, Hilary Swank, Jeffrey Dean Morgan, Kathy Bates, Lisa Kudrow",32123067.000000104
1027,"Happening, The",06/13/2008,Suspense,"Alan Ruck, John Leguizamo, Mark Wahlberg, Zooey Deschanel",90794381.4
1029,J-ok'el,03/02/2007,Suspense,"Ana Patricia Rojo, Angelique Boyer, Cheneck, Dee Wallace, Diana Bracho, Eddi Alfaro, Hersalia Cantoral Trejo, JesÃºs Ochoa, Juan JesÃºs CanaÃ¡n RamÃ­rez, Pablo Bracho, Tom Parker",4647245.08
1038,Cuando las cosas suceden,03/30/2007,Drama,"Alejandro Tommasi, Jacqueline Bracamontes, Mar Carrera, Marcela Guirado",6412363.0
1039,Nights In Rodanthe,10/03/2008,Drama,"Christopher Meloni, Diane Lane, James Franco, Mae Whitman, Richard Gere, Scott Glenn, Viola Davis",24648107.4
1040,Fool's Gold,02/22/2008,Romantic Comedy,"Alexis Dziena, Donald Sutherland, James Franco, Kate Hudson, Kevin Hart, Matthew McConaughey, Ray Winstone",13377656.6
1041,21,06/20/2008,Suspense,"Aaron Yoo, Jack McGee, Jacob Pitts, Jim Sturgess, Josh Gad, Kate Bosworth, Kevin Spacey, Laurence Fishburne, Liza Lapira",31419792.999999896
1042,Ladron Que Roba A Ladron,04/18/2008,Action,"Daniel Edward Mora, Fernando Colunga, Gabriel Soto, Ivonne Montero, JoJo Henrickson, Jonathon Downs, Julie Gonzalo, Lidia Pires, Miguel Varoni, Nickolas Ray Hernandez, Oscar Torres, Richard Azurdia, Ruben Garfias, Saul Lisazo, Sonya Smith, Tim Camarillo",18145366.0
1043,27 Dresses,02/14/2008,Romantic Comedy,"James Marsden, Judy Greer, Katherine Heigl, Krysten Ritter, Malin Akerman, Peyton List",30654631.200000104
1045,"Green Hornet, The",01/21/2011,Action,"Cameron Diaz, Christoph Waltz, David Harbour, Edward James Olmos, Enzo Cilenti, Jay Chou, Michael Pena, Seth Rogen, Stephen Chow, Tom Wilkinson",96057398.49999979
1046,Persepolis,06/06/2008,Animation,"Catherine Deneuve, Chiara Mastroianni, Gena Rowlands, Simon Abkarian",1772579.0
1051,Drillbit Taylor,03/20/2008,Comedy,"Danny McBride, David Dorfman, David Koechner, Josh Peck, Leslie Mann, Owen Wilson, Stephen Root, Troy Gentile",39289367.000000104
1053,"GroÃe Ausverkauf, Der",06/13/2008,Documentary,,295296.0
1055,"11th Hour, The (2007)",03/07/2008,Documentary,Leonardo DiCaprio,368929.000000001
1062,"Misma luna, La",03/20/2008,Drama,"Adrian Alonso, America Ferrera, Carmen Salinas, Eugenio Derbez, Jesse Garcia, Kate del Castillo, Los Tigres del Norte, Maria Rojo, Maya Zapata",97409253.9300002
1063,"Tale Of Despereaux, The",12/25/2008,Animation,"Christopher Lloyd, Ciaran Hinds, Dustin Hoffman, Emma Watson, Frank Langella, Justin Long, Kevin Kline, Richard Jenkins, Robbie Coltrane, Sigourney Weaver, Stanley Tucci, Tony Hale, Tracey Ullman, William H. Macy",29990976.999999896
1064,Imagine That,08/21/2009,Comedy,"Eddie Murphy, Martin Sheen, Nicole Ari Parker, Ronny Cox, Stephen Root, Thomas Haden Church, Vanessa Williams",14664353.0
1069,No Country For Old Men,02/08/2008,Suspense,"Barry Corbin, Beth Grant, Garret Dillahunt, Javier Bardem, Josh Brolin, Kelly Macdonald, Kelly MacDonald, Stephen Root, Tess Harper, Tommy Lee Jones, Woody Harrelson",18373954.8
1070,Entre CanÃ­bales,05/10/2007,Drama,"Gabriela Canudas, Plutarco Haza, Regina Orozco, Roberto Sosa",1807737.0
1071,Sleuth,01/25/2008,Suspense,"Harold Pinter, Jude Law, Michael Caine",2323678.0
1079,Fantastic Mr. Fox,12/04/2009,Animation,"Bill Murray, Cate Blanchett, George Clooney, Helen McCrory, Jason Schwartzman, Meryl Streep, Michael Gambon, Willem Dafoe",3075545.0
1080,Nim's Island,07/18/2008,Adventure,"Abigail Breslin, Gerard Butler, Jodie Foster",18629441.0
1081,Y tÃº cuÃ¡nto cuestas?,05/18/2007,Documentary,,2332123.0
1082,In Bruges,03/20/2009,Suspense,"Brendan Gleeson, ClÃ©mence PoÃ©sy, Colin Farrell, JÃ©rÃ©mie Renier, Ralph Fiennes",2796997.0
1083,Coraline,02/06/2009,Animation,"Dakota Fanning, Ian McShane, Jennifer Saunders, Keith David, Teri Hatcher",68988880.0
1085,Revolutionary Road,01/30/2009,Drama,"Kate Winslet, Kathryn Hahn, Kathy Bates, Leonardo DiCaprio, Michael Shannon, Ryan Simpkins, Ty Simpkins",14106032.0
1086,"Lovely Bones, The",02/19/2010,Drama,"Jake Abel, Mark Wahlberg, Rachel Weisz, Saoirse Ronan, Stanley Tucci, Susan Sarandon",35835405.999999896
1087,J.C. ChÃ¡vez,05/18/2007,,Julio Cesar Chavez,2765446.99999999
1088,"Savages, The",04/04/2008,Drama,"Cara Seymour, Guy Boyd, Laura Linney, Margo Martindale, Philip  Bosco, Philip Seymour Hoffman",1276338.0
1089,"Sangre iluminada, La",04/25/2008,,"Enoc LeaÃ±o, Flor Payan, Gustavo SÃ¡nchez Parra, Joustein Roustand",266993.0
1092,"Curious Case Of Benjamin Button, The",01/16/2009,Drama,"Brad Pitt, Cate Blanchett, Jared Harris, Jason Flemyng, Julia Ormond, Taraji P. Henson, Tilda Swinton",103240267.0
1098,Wild Child,11/28/2008,Comedy,"Aidan Quinn, Alex Pettyfer, Emma Roberts, Juno Temple, Kimberley Nixon, Natasha Richardson, Shirley Henderson",5041306.0
1099,Space Chimps,10/24/2008,Animation,"Andy Samberg, Cheryl Hines, Jane Lynch, Jeff Daniels, Kenan Thompson, Kristin Chenoweth, Patrick Warburton, Stanley Tucci",8346049.0
1108,Death Race,10/31/2008,Action,"Ian McShane, Jason Statham, Joan Allen, Mary J. Blige, Natalie Martinez, Tyrese Gibson",19627338.0
1111,XXY,01/25/2008,Drama,"Carolina Pelleritti, German Palacios, InÃ©s EfrÃ³n, Martin Piroyansky, Ricardo DarÃ­n, Valeria Bertuccelli",1034961.0
1116,"Darjeeling Limited, The",01/18/2008,Comedy,"Adrien Brody, Anjelica Huston, Bill Murray, Jason Schwartzman, Natalie Portman, Owen Wilson, Roman Coppola",3003146.0
1120,Genova,06/11/2010,,"Catherine Keener, Colin Firth, Hope Davis, Perla Haney-Jardine, Willa Holland",70969.0000000001
1121,What Happens In Vegas,05/30/2008,Comedy,"Ashton Kutcher, Cameron Diaz, Dennis Miller, Jason Sudeikis, Krysten Ritter, Lake Bell, Michelle Krusiec, Queen Latifah, Rob Corddry, Zach Galifianakis",78063864.9999999
1128,Never Back Down,08/22/2008,Action,"Amber Heard, Cam Gigandet, Djimon Hounsou, Evan Peters, Sean Faris",3728760.40000001
1130,Valkyrie,02/13/2009,Suspense,"Armin Mueller-Stahl, Bill Nighy, Carice van Houten, Eddie Izzard, Kenneth Branagh, Patrick Wilson, Stephen Fry, Tom Cruise, Tom Wilkinson",63858481.0
1136,"Pink Panther 2, The",02/27/2009,Comedy,"Aishwarya Rai Bachchan, Alfred Molina, Andy Garcia, Emily Mortimer, Jean Reno, John Cleese, Steve Martin, Yuki Matsuzaki",33420771.000000104
1140,"Women, The",11/28/2008,Comedy,"Ana Gasteyer, Annette Bening, Bette Midler, Candice Bergen, Carrie Fisher, Debi Mazar, Debra Messing, Eva Mendes, Lynn Whitfield, Meg Ryan",6397619.0
1141,Righteous Kill,02/06/2009,Suspense,"Al Pacino, Brian Dennehy, Carla Gugino, Curtis '50 Cent' Jackson, Donnie Wahlberg, John Leguizamo, Robert De Niro, Terry Serpico",16248790.0
1142,Cloverfield,02/01/2008,Action,"Jessica Lucas, Liza Lapira, Lizzy Caplan, Michael Stahl-David, Mike Vogel, Odet Jasmin, T.J. Miller",51497995.999999896
1143,Watchmen,03/06/2009,Action,"Billy Crudup, Carla Gugino, Jackie Earle Haley, Jason Patric, Jeffrey Dean Morgan, Malin Akerman, Matthew Goode, Patrick Wilson",31918173.0
1145,Ira & Abby,05/09/2008,Romantic Comedy,"Chris Messina, Chris Parnell, Darrell Hammond, Frances Conroy, Fred Willard, Gregory Jbara, Jason Alexander, Jennifer Westfeldt, Judith Light, Robert Dean Klein",2723187.0
1147,Shrek Forever After,07/16/2010,Animation,"Amy Sedaris, Antonio Banderas, Cameron Diaz, Chris Miller, Conrad Vernon, Craig Robinson, Eddie Murphy, Eric Idle, Ian McShane, Jane Lynch, Jon Hamm, Julie Andrews, Justin Timberlake, Kathy Griffin, Kristen Schaal, Larry King, Mike Myers, Paul McCartney, Regis Philbin",371784856.08
1149,"Bucket List, The",01/25/2008,Comedy,"Jack Nicholson, Morgan Freeman, Rob Morrow, Sean P. Hayes",69679019.0
1151,"International, The",03/20/2009,Suspense,"Armin Mueller-Stahl, Clive Owen, Jack McGee, James Rebhorn, Naomi Watts, Ulrich Thomsen",12648183.0
1152,You Don't Mess With The Zohan,06/06/2008,Comedy,"Adam Sandler, Chris Rock, Emmanuelle Chriqui, Kevin Nealon, Nick Swardson, Rob Schneider, Shelley Berman",65847987.6
1154,Mad Money,08/15/2008,Comedy,"Diane Keaton, Katie Holmes, Queen Latifah, Stephen Root, Ted Danson",9947321.00000001
1155,"Spirit, The",01/23/2009,Action,"Eva Mendes, Gabriel Macht, Jaime King, Johnny Simmons, Paz Vega, Samuel L. Jackson, Sarah Paulson, Scarlett Johansson, Stana Katic",6806816.0
1161,Hotel For Dogs,01/23/2009,Family,"Don Cheadle, Emma Roberts, Jake T. Austin, Jeremy Howard, Johnny Simmons, Kevin Dillon, Kyla Pratt, Lisa Kudrow, Yvette Nicole Brown",49913708.999999896
1168,Espinas,08/31/2007,,"CÃ©sar Cansdales, Ernesto YÃ¡Ã±ez, Francisco Casasola, Gamboa Bernardo",1451046.0
1169,Eagle Eye,09/26/2008,Action,"Anthony Azizi, Anthony Mackie, Bill Smitrovich, Billy Bob Thornton, Cameron Boyce, Charles Carroll, Eric Christian Olsen, Ethan Embry, Jonathan Chase, Lynn Cohen, Michael Chiklis, Michelle Monaghan, Rosario Dawson, Shia LaBeouf",32938568.0
1171,Tropa de Elite,05/30/2008,Suspense,"Caio Junqueira, Fernanda Machado, Maria Ribeiro, Milhem Cortaz, Wagner Moura",764346.9999999991
1173,"Hungry Woman, The",09/21/2007,Drama,"Luis Torner, Olivia Pena, Richard Gleason, Roberto Enriquez",265000.0
1174,El Cobrador: In God We Trust,01/25/2008,Drama,"AdÃ¡n Llorca, Malu Galli, Maya Zapata, Milton GonÃ§alves",1218486.0
1176,"Ladrones viejos. Las leyendas del artegio, Los",02/14/2008,Documentary,,525608.000000001
1180,Sea Monsters 3D: A Prehistoric Adventure,09/25/2008,Documentary,Liev Schreiber,419210.0
1186,Transformers: Revenge of the Fallen,06/24/2009,Action,"Hugo Weaving, Isabel Lucas, John Turturro, Josh Duhamel, Megan Fox, Robin Atkin Downes, Shia LaBeouf, Tyrese Gibson",206702988.64
1189,Blindness (2008),10/17/2008,Suspense,"Alice Braga, Danny Glover, Gael Garcia Bernal, Joe Pingue, Julianne Moore, Mark Ruffalo, Sandra Oh",14558774.0
1190,Mister Lonely,05/29/2009,Comedy,"Anita Pallenberg, David Blaine, Diego Luna, Samantha Morton, Werner Herzog",505105.0
1191,Land Of The Lost,08/14/2009,Comedy,"Anna Friel, Danny McBride, Eve Mauro, Jorma Taccone, Will Ferrell",40551068.52
1193,"Pasado, El",11/16/2007,Drama,"Ana Calentano, AnÃ¡lia Couceyro, Gael GarcÃ­a Bernal",3199988.0
1194,Laberintos de la memoria,10/02/2007,Documentary,,70900.00000000019
1202,Fame,01/15/2010,Musical,"Anna Maria Perez de Tagle, Asher Book, Bebe Neuwirth, Charles S. Dutton, Collins Pennie, Debbie Allen, Kay Panabaker, Kelsey Grammer, Kherington Payne, Kristy Flores, Megan Mullally, Naturi Naughton, Paul Iacono, Paul McGill, Tiffany Espensen, Walter Perez",4131614.0
1210,Cochochi,04/24/2009,Family,"Antonio Lerma Batista, Evaristo Lerma Batista",312144.0
1217,X-Men Origins: Wolverine,05/29/2009,Action,"Danny Huston, Dominic Monaghan, Hugh Jackman, Kevin Durand, Liev Schreiber, Lynn Collins, Ryan Reynolds, Taylor Kitsch",134771904.67
1218,Mi vida dentro,01/16/2009,Documentary,,387395.1
1222,"House Bunny, The",10/24/2008,Comedy,"Anna Faris, Beverly D'Angelo, Colin Hanks, Emma Stone, Kat Dennings, Monet Mazur, Nick Swardson, Rumer Willis",16203976.0
1223,Quarantine,01/30/2009,Horror,"Andrew Fiscella, Columbus Short, Jay Hernandez, Jennifer Carpenter, Johnathon Schaech, Steve Harris",6940529.99999999
1226,Burn After Reading,10/24/2008,Comedy,"Brad Pitt, Frances McDormand, George Clooney, J.K. Simmons, John Malkovich, Liam Ferguson, Richard Jenkins, Tilda Swinton",24486929.0
1227,Sex Drive,01/23/2009,Comedy,"Amanda Crew, Charlie McDermott, Clark Duke, David Koechner, James Marsden, Josh Zuckerman",4283283.0
1228,Twilight,11/20/2008,Drama,"Anna Kendrick, Ashley Greene, Billy Burke, Elizabeth Reaser, Kellan Lutz, Kristen Stewart, Nikki Reed, Peter Facinelli, Robert Pattinson, Sarah Clarke, Taylor Lautner",133080986.0
1229,Deception,11/07/2008,Suspense,"Ewan McGregor, Hugh Jackman, Maggie Q, Michelle Williams, Natasha Henstridge",4827540.00000001
1230,Meet The Spartans,02/29/2008,Comedy,"Diedrich Bader, Jim Piddock, Kevin Sorbo, Martin Klebba, Method Man, Sean Maguire, Travis Van Winkle",38836966.20000011
1231,"Rocker, The",09/19/2008,Comedy,"Bradley Cooper, Christina Applegate, Demetri Martin, Emma Stone, Howard Hesseman, Jane Krakowski, Jane Lynch, Jason Sudeikis, Jeff Garlin, Josh Gad, Rainn Wilson, Will Arnett",4621327.00000001
1232,"Taking Of Pelham 123, The",09/25/2009,Action,"Denzel Washington, James Gandolfini, John Travolta, John Turturro, Luis GuzmÃ¡n, Michael Rispoli",52138557.45000011
1233,"X-Files: I Want to Believe, The",08/08/2008,Suspense,"Adam Godley, Amanda Peet, Billy Connolly, David Duchovny, Gillian Anderson, Mitch Pileggi",33621867.0
1234,Lakeview Terrace,11/21/2008,Suspense,"Jay Hernandez, Keith Loneker, Kerry Washington, Patrick Wilson, Regine Nehy, Samuel L. Jackson",4238538.0
1235,Nick And Norah's Infinite Playlist,12/05/2008,Comedy,"Aaron Yoo, Alexis Dziena, Andy Samberg, Ari Graynor, Jay Baruchel, John Cho, Kat Dennings, Michael Cera, Rafi Gavron, Seth Meyers",2743259.0
1236,Year One,10/09/2009,Comedy,"Bill Hader, Christopher Mintz-Plasse, Jack Black, Michael Cera, Oliver Platt, Olivia Wilde, Paul Rudd, Xander Berkeley",14729343.9
1238,Seven Pounds,01/09/2009,Drama,"Barry Pepper, Bill Smitrovich, Rosario Dawson, Sarah Jane Morris, Will Smith, Woody Harrelson",59602760.0
1241,Cocalero,09/05/2008,Documentary,"Alex Contreras, Evo Morales",274914.0
1242,GI Joe,08/07/2009,Action,"Adewale Akinnuoye-Agbaje, Channing Tatum, Christopher Eccleston, Dennis Quaid, Joseph Gordon-Levitt, Leo Howard, Marlon Wayans, Said Taghmaoui, Sienna Miller",98951412.0000001
1243,"I Love You, Man",04/24/2009,Comedy,"Andy Samberg, Jaime Pressly, Jane Curtin, Jason Segel, J.K. Simmons, Jon Favreau, Paul Rudd, Rashida Jones",8241456.99999998
1244,Transformers,07/20/2007,Action,"Anthony Anderson, Bernie Mac, Colton Haynes, Glenn Morshower, Hugo Weaving, John Turturro, Jon Voight, Josh Duhamel, Megan Fox, Shia LaBeouf, Tyrese Gibson",195069701.4
1245,Cascia,11/09/2007,Drama,,4003788.99999999
1246,Eros una vez MarÃ­a,11/09/2007,,"Alejandra UrdiaÃ­n, Ana Serradilla, Bianca CalderÃ³n, Diana Bracho, Julio Bracho, Mahalat SÃ¡nchez, MÃ³nica Dionne, Sol Mendez, VerÃ³nica Jaspeado",3153752.99999999
1247,Dragonball Evolution,04/09/2009,Action,"Chow Yun-Fat, Emmy Rossum, Eriko Tamura, James Marsters, Jamie Chung, Joong-Hoon Park, Justin Chatwin",28663577.0
1248,Friday The 13th (2009),02/13/2009,Horror,"Aaron Yoo, Amanda Righetti, Andrea Bogart, Danielle Panabaker, Derek Mears, Jared Padalecki, Jonathan Sadowski, Julianna Guill, Julie Berman, Richard Burgi, Ryan Hansen, Travis Van Winkle",10905674.0
1249,District 9,10/16/2009,Action,"Andre Odendaal, David James, Jason Cope, Jed Brophy, Johan van Schoor, Louis Minnaar, Mandla Gaduka, Marian Hooman, Melt Sieberhagen, Nathalie Boltt, Nick Blake, Nick Boraine, Robert Hobbs, Sharlto Copley, Stella Steenkamp, Sylvaine Strike, Tim Gordon, Vanessa Haywood, Vittorio Leonardi, William Allen Young",32496353.51
1252,Marley And Me,01/16/2009,Comedy,"Alan Arkin, Eric Dane, Jennifer Aniston, Owen Wilson",36776210.0
1254,Milk (2008),03/06/2009,Drama,"Dave Franco, Diego Luna, Emile Hirsch, James Franco, Josh Brolin, Sean Penn",8968565.00000001
